50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,1.355244,,,,,,,,,,,,,,,,,,,,,,42cea91e-f78c-4f3f-9af1-288a948b3ae7,11,,,"[34.7, 52.7]",0,,,,,1.5568112,,40.0,Right Foot,,,,"[34.9, 67.0]",2.0,Low Pass,,14.301398,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",3.0,Right Center Back,2,1,Arsenal,['ce298338-120c-4cdc-8641-a1e836e71d2f'],5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.588,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce298338-120c-4cdc-8641-a1e836e71d2f,12,,,"[34.9, 67.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['42cea91e-f78c-4f3f-9af1-288a948b3ae7'],6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.943,42,Ball Receipt*,
,,,,,,,,"[35.4, 68.6]",,,,,,,,,,,,,,,,1.005405,,,,,,,,,,,,,,,,,,,,,,09b13dc5-2665-4248-8ea8-73ceab269409,13,,,"[34.9, 67.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['85cce745-7e76-432b-97d3-d71be39c4cb7', 'aea965ed-e18b-46de-b1f5-c57069557640', 'ce298338-120c-4cdc-8641-a1e836e71d2f']",6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.943,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,,0.98365,,,,,,,,,,,,,,,,,,,,,,aea965ed-e18b-46de-b1f5-c57069557640,14,,,"[85.2, 17.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40362.0,Juan Pablo Ángel Arango,24.0,Left Center Forward,2,1,Arsenal,"['09b13dc5-2665-4248-8ea8-73ceab269409', '85cce745-7e76-432b-97d3-d71be39c4cb7']",7,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:07.098,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,1.319308,,,,,,,,,,,,,,,,,,,,,,85cce745-7e76-432b-97d3-d71be39c4cb7,15,,,"[35.4, 68.6]",0,,,,,0.45438862,,40.0,Right Foot,,,,"[57.1, 79.2]",3.0,High Pass,,24.15057,,75.0,Out,,15754.0,Fredrik Ljungberg,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['aea965ed-e18b-46de-b1f5-c57069557640', 'e6d713f0-cb78-4d1a-becf-6621a962405d']",7,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.949,30,Pass,True
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6d713f0-cb78-4d1a-becf-6621a962405d,16,,,"[55.5, 76.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,['85cce745-7e76-432b-97d3-d71be39c4cb7'],9,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.268,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,1.517715,,,,,,,,,,,,,,,,,,,,,,65330e6f-e595-43bf-9996-4adfc6af49c2,17,,,"[64.4, 0.1]",0,,,,,2.791737,,,,,,,"[49.6, 5.5]",2.0,Low Pass,,15.754364,,,,,24763.0,Ronny Johnsen,,,,,67.0,Throw-in,1,4,From Throw In,40359.0,Jlloyd Tafari Samuel,6.0,Left Back,3,59,Aston Villa,['42f093e2-51c1-4cff-8fc6-1d7e1ae6ad21'],19,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:19.009,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42f093e2-51c1-4cff-8fc6-1d7e1ae6ad21,18,,,"[49.6, 5.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,24763.0,Ronny Johnsen,5.0,Left Center Back,3,59,Aston Villa,['65330e6f-e595-43bf-9996-4adfc6af49c2'],20,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:20.527,42,Ball Receipt*,
,,,,,,,,"[50.8, 7.8]",,,,,,,,,,,,,,,,1.363814,,,,,,,,,,,,,,,,,,,,,,79d12580-9fc9-43b6-9311-46d216f92d56,19,,,"[49.6, 5.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,24763.0,Ronny Johnsen,5.0,Left Center Back,3,59,Aston Villa,"['42f093e2-51c1-4cff-8fc6-1d7e1ae6ad21', 'fa670f12-d51f-4afb-b286-290754d2444f']",20,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:20.527,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.203458,,,,,,,,,,,,,,,,,,,,,,fa670f12-d51f-4afb-b286-290754d2444f,20,,,"[50.8, 7.8]",0,,,,,1.2007828,,40.0,Right Foot,,,,"[57.2, 24.3]",1.0,Ground Pass,,17.69774,,,,,4394.0,Peter Whittingham,,,,,,,1,4,From Throw In,24763.0,Ronny Johnsen,5.0,Left Center Back,3,59,Aston Villa,['d33c66ea-d86f-4b73-b9d7-423be6bc9fd6'],21,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:21.891,30,Pass,
