50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,half_start_late_video_start,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,"[44.1, 65.4]",,,,,,,,,,,,,,,,1.493651,,,,,,,,,,,,,,,,,,,,2621e702-4ec9-4985-b1ef-91db0129e440,11,,,"[41.2, 65.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40270.0,Gary Oliver Kelly,2.0,Right Back,2,101,Leeds United,"['5376f788-c0f7-470a-9f18-b24cc5045252', '5b9d909d-9cf1-49b9-9090-d4c2730a7539']",4,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:04.218,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,2.933646,,,,,,,,,,,,,,,,,,,,5376f788-c0f7-470a-9f18-b24cc5045252,12,,,"[44.1, 65.4]",0,,,,,-0.49757499,,40.0,Right Foot,,,,"[91.6, 39.6]",,3.0,High Pass,,54.05451,,,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,40270.0,Gary Oliver Kelly,2.0,Right Back,2,101,Leeds United,['f3b8465d-5ca1-4cd9-a387-dba6f3895bb0'],5,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:05.712,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,1.730754,,,,,,,,,,,,,,,,,,,,f3b8465d-5ca1-4cd9-a387-dba6f3895bb0,13,,,"[28.5, 40.5]",0,,,,,0.03598446,,40.0,Right Foot,,,,"[53.5, 41.4]",,3.0,High Pass,,25.016195,,,9.0,Incomplete,,,,,,,,,66.0,Recovery,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,101,Leeds United,"['376c6fc6-15a8-4534-a799-c496e102959b', '5376f788-c0f7-470a-9f18-b24cc5045252']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.645,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,1.471001,,,,,,,,,,,,,,,,,,,,376c6fc6-15a8-4534-a799-c496e102959b,14,,,"[66.6, 38.7]",0,,,,,2.6511955,,37.0,Head,,,,"[54.8, 45.0]",,3.0,High Pass,,13.3764715,,,9.0,Incomplete,,,,,,,,,66.0,Recovery,1,9,From Kick Off,40269.0,Lamine Sakho,16.0,Left Midfield,2,101,Leeds United,"['e5e20a0d-b4cc-48df-8b04-1d8f818cb70b', 'f3b8465d-5ca1-4cd9-a387-dba6f3895bb0']",10,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:10.376,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,e5e20a0d-b4cc-48df-8b04-1d8f818cb70b,15,,,"[65.3, 35.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,101,Leeds United,['376c6fc6-15a8-4534-a799-c496e102959b'],11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.847,2,Ball Recovery,
,,,,,,,,,"[65.1, 33.9]",,,,,,,,,,,,,,,,1.035798,,,,,,,,,,,,,,,,,,,,c36fff55-4119-497f-aa51-ca100d0d094f,16,,,"[65.3, 35.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,101,Leeds United,"['5e2ceb6b-ad59-4067-be5d-d15f76793dfc', '7a634a52-c866-49c7-ac74-d977b1787923', 'e5e20a0d-b4cc-48df-8b04-1d8f818cb70b']",11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.847,43,Carry,True
,,,,,,,,,,,,,,,,True,,,,,,,,,0.704663,,,,,,,,,,,,,,,,,,,,7a634a52-c866-49c7-ac74-d977b1787923,17,,,"[57.3, 46.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38557.0,David Batty,9.0,Right Defensive Midfield,2,101,Leeds United,['c36fff55-4119-497f-aa51-ca100d0d094f'],12,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:12.133,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5e2ceb6b-ad59-4067-be5d-d15f76793dfc,18,,,"[65.1, 33.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,101,Leeds United,['3e23d1cd-1dc8-41d6-a9b6-f2b002a324c2'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.883,3,Dispossessed,True
,,,,,,,,,,,,,,,,True,,,,,4.0,Won,11.0,Tackle,0.0,,,,,,,,,,,,,,,,,,,,3e23d1cd-1dc8-41d6-a9b6-f2b002a324c2,19,,,"[55.0, 46.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38557.0,David Batty,9.0,Right Defensive Midfield,2,101,Leeds United,['5e2ceb6b-ad59-4067-be5d-d15f76793dfc'],12,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:12.883,4,Duel,True
,,,,,,,,,"[47.5, 62.2]",,,,,,,,,,,,,,,,2.206789,,,,,,,,,,,,,,,,,,,,a21b1dd7-b8ed-4ad5-bfcd-5c8d75cd68a3,20,,,"[55.0, 46.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38557.0,David Batty,9.0,Right Defensive Midfield,2,101,Leeds United,"['3e23d1cd-1dc8-41d6-a9b6-f2b002a324c2', 'd354c0e6-cc69-4543-86d7-aaca7c68bc58']",12,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:12.883,43,Carry,
