50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c829f87d-7a0d-474b-ac85-259d3da5ccc8,11,,,"[17.4, 63.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,3,1,Arsenal,['f7640c6b-b761-463a-aa89-158c723c2bb8'],31,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:31.027,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,1.767722,,,,,,,,,,,,,,,,,,,,,,6dad8d89-5416-4fbb-89e3-cf8a79af6a2c,12,,,"[17.4, 63.7]",0,,,,,-2.458063,,40.0,Right Foot,,,"[5.0, 53.6]",,1.0,Ground Pass,,15.992811,,,,,20015.0,Jens Lehmann,,,,,,,,1,7,From Goal Kick,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,3,1,Arsenal,['7ebe550d-919c-4d82-98f1-c58d2f71f2ab'],31,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:31.099,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,0.839868,,,,,,,,,,,,,,,,,,,,,,d61c9a05-85f3-4a18-84c6-a4dbb7f1f493,13,,,"[110.4, 27.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40323.0,Joseph-Desiré Job,24.0,Left Center Forward,3,1,Arsenal,"['7ebe550d-919c-4d82-98f1-c58d2f71f2ab', '9ba19e48-df67-496c-8eab-a04ef65c1f1e']",32,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:32.188,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ebe550d-919c-4d82-98f1-c58d2f71f2ab,14,,,"[5.0, 53.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,20015.0,Jens Lehmann,1.0,Goalkeeper,3,1,Arsenal,"['6dad8d89-5416-4fbb-89e3-cf8a79af6a2c', 'd61c9a05-85f3-4a18-84c6-a4dbb7f1f493']",32,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:32.867,42,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,2.32925,,,,,,,,,,,,,,,,,,,,,,9ba19e48-df67-496c-8eab-a04ef65c1f1e,15,,,"[3.9, 52.8]",0,,,,,-0.4825133,,40.0,Right Foot,,,"[50.1, 28.6]",,3.0,High Pass,,52.154385,,,,,15515.0,Patrick Vieira,,,,,,,,1,7,From Goal Kick,20015.0,Jens Lehmann,1.0,Goalkeeper,3,1,Arsenal,"['d61c9a05-85f3-4a18-84c6-a4dbb7f1f493', 'd9aff875-9e28-4bbe-8ae7-62db7633300e']",32,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:32.867,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,0.603591,,,,,,,,,,,,,,,,,,,,,,1c362285-8f6e-497b-a2e6-f42c9c0ea568,16,,,"[70.0, 51.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40324.0,George Boateng,13.0,Right Center Midfield,3,1,Arsenal,,34,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:34.563,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9aff875-9e28-4bbe-8ae7-62db7633300e,17,,,"[50.1, 28.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,['9ba19e48-df67-496c-8eab-a04ef65c1f1e'],35,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:35.196,42,Ball Receipt*,
,,,,,,,,"[50.5, 32.0]",,,,,,,,,,,,,,,,1.438621,,,,,,,,,,,,,,,,,,,,,,a4824c92-b192-4786-8151-2e9dda8765f8,18,,,"[50.1, 28.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,"['a493cb5b-72d9-489b-9abf-bab7e5d0a94b', 'd9aff875-9e28-4bbe-8ae7-62db7633300e']",35,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:35.196,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,3.383773,,,,,,,,,,,,,,,,,,,,,,a493cb5b-72d9-489b-9abf-bab7e5d0a94b,19,,,"[50.5, 32.0]",0,,,,,0.44237423,9afb12bb-3b1c-41d3-add6-d222e06402e4,40.0,Right Foot,,,"[96.1, 53.6]",,2.0,Low Pass,,50.45711,,,,,40255.0,Jérémie Aliadière,True,,,,,,,1,7,From Goal Kick,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,['06cba238-9c83-4d95-b0f0-f1b4568c60dd'],36,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:36.635,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,1.45071,,,,,,,,,,,,,,,,,,,,,,da7e7f7a-1db9-4819-bbc4-8e0f0f24a8d3,20,,,"[31.9, 29.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15403.0,Gareth Southgate,5.0,Left Center Back,3,1,Arsenal,,38,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:38.141,17,Pressure,
