ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_to_post,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,2.749792,,,,,,,,,,,,,,,,,,,,24f75cbb-bb3b-4e69-ae7c-2d0fe2219510,11,,,"[41.9, 14.2]",0,,,,,-0.12745184,,38.0,Left Foot,,,,"[85.6, 8.6]",3.0,High Pass,,44.05735,,,,,40357.0,Brett Emerton,,,,,,,,1,9,From Kick Off,40395.0,Michael Gray,6.0,Left Back,2,98,Blackburn Rovers,"['4ceccbd2-ff0e-47e3-b2a4-195a03a3c58d', 'd664c2a4-a835-4d50-b3f4-1806e4eef94b']",6,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:06.765,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ceccbd2-ff0e-47e3-b2a4-195a03a3c58d,12,,,"[85.6, 8.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40357.0,Brett Emerton,11.0,Left Defensive Midfield,2,98,Blackburn Rovers,['24f75cbb-bb3b-4e69-ae7c-2d0fe2219510'],9,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:09.515,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,0.0,,,,,,,,,,,,,,,,,,,,2da74a5c-bbf8-4c1e-a1ec-d07b32d2f405,13,,,"[34.5, 71.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,98,Blackburn Rovers,['1490f732-999b-480f-a499-aee7c3992a5e'],9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.545,4,Duel,True
,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,1490f732-999b-480f-a499-aee7c3992a5e,14,,,"[85.6, 8.6]",0,,,,True,2.639686,,,,,,,"[77.4, 13.1]",3.0,High Pass,,9.353609,,,,,40395.0,Michael Gray,,,,,,,,1,9,From Kick Off,40357.0,Brett Emerton,11.0,Left Defensive Midfield,2,98,Blackburn Rovers,"['2da74a5c-bbf8-4c1e-a1ec-d07b32d2f405', 'ed4476fa-27aa-420d-9306-322cdad1f6d0']",9,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:09.545,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,1.88023,,,,,,,,,,,,,,,,,,,,597ea1f8-fb03-49d7-8f4f-34c159c0afb0,15,,,"[38.1, 66.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,98,Blackburn Rovers,"['3a4f54d0-04c8-43c7-af87-65b891e16848', 'ed4476fa-27aa-420d-9306-322cdad1f6d0']",11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.402,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ed4476fa-27aa-420d-9306-322cdad1f6d0,16,,,"[77.4, 13.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40395.0,Michael Gray,6.0,Left Back,2,98,Blackburn Rovers,"['1490f732-999b-480f-a499-aee7c3992a5e', '597ea1f8-fb03-49d7-8f4f-34c159c0afb0']",12,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:12.945,42,Ball Receipt*,True
,,,,,,"[83.7, 15.9]",,,,,,,,,,,,,,,,,1.204724,,,,,,,,,,,,,,,,,,,,3a4f54d0-04c8-43c7-af87-65b891e16848,17,,,"[77.4, 13.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40395.0,Michael Gray,6.0,Left Back,2,98,Blackburn Rovers,"['2aa70253-009b-418d-a59d-3e0228ffd019', '597ea1f8-fb03-49d7-8f4f-34c159c0afb0', 'ed4476fa-27aa-420d-9306-322cdad1f6d0', 'fa04ae73-d5e0-4d28-89da-8ae16212bc15']",12,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:12.945,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,0.443621,,,,,,,,,,,,,,,,,,,,2aa70253-009b-418d-a59d-3e0228ffd019,18,,,"[38.4, 62.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,12.0,Right Midfield,2,98,Blackburn Rovers,"['3a4f54d0-04c8-43c7-af87-65b891e16848', 'fa04ae73-d5e0-4d28-89da-8ae16212bc15']",13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.888,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,0.560506,,,,,,,,,,,,,,,,,,,,fa04ae73-d5e0-4d28-89da-8ae16212bc15,19,,,"[83.7, 15.9]",0,,,,,-0.94897205,,40.0,Right Foot,,,,"[88.0, 9.9]",2.0,Low Pass,,7.3817344,,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,40395.0,Michael Gray,6.0,Left Back,2,98,Blackburn Rovers,"['2aa70253-009b-418d-a59d-3e0228ffd019', '51dbf56d-cc49-40d6-93c6-16f83b80ce96']",14,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:14.150,30,Pass,True
,,,,,,,,,,,,,,True,,,,,,,,,0.878639,,,,,,,,,,,,,,,,,,,,51dbf56d-cc49-40d6-93c6-16f83b80ce96,20,,,"[32.1, 70.2]",0,,,,,0.0,,40.0,Right Foot,,,,"[38.6, 70.2]",1.0,Ground Pass,,6.5,,,,,15515.0,Patrick Vieira,,,,,,64.0,Interception,1,6,From Counter,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,"['6a9b7579-9647-429d-b0b0-998d82df32dd', 'fa04ae73-d5e0-4d28-89da-8ae16212bc15']",14,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.710,30,Pass,
