50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,2.665826,,,,,,,,,,,,,,,,,,,,,ce115eeb-4062-417d-9c84-cc446f5db25b,11,,,,"[45.2, 63.9]",0,,,,-2.4222462,,40.0,Right Foot,,,,"[31.5, 51.9]",,1.0,Ground Pass,,18.212358,,,,,15654.0,Martin Keown,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['c006eab9-aec7-4a1b-9d9e-364dfb222ee5'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.816,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c006eab9-aec7-4a1b-9d9e-364dfb222ee5,12,,,,"[31.5, 51.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15654.0,Martin Keown,5.0,Left Center Back,2,1,Arsenal,['ce115eeb-4062-417d-9c84-cc446f5db25b'],7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.481,42,Ball Receipt*,
,,,,,,,"[28.5, 50.5]",,,,,,,,,,,,,,,,,0.079999,,,,,,,,,,,,,,,,,,,,,4a731b6e-90ca-4bed-aefa-c92afe336f2d,13,,,,"[31.5, 51.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15654.0,Martin Keown,5.0,Left Center Back,2,1,Arsenal,"['34d36274-7dcc-4116-8e26-39d8479bdd9c', 'c006eab9-aec7-4a1b-9d9e-364dfb222ee5']",7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.481,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.077487,,,,,,,,,,,,,,,,,,,,,34d36274-7dcc-4116-8e26-39d8479bdd9c,14,,,,"[28.5, 50.5]",0,,,,-1.5851839,,40.0,Right Foot,,,,"[28.1, 22.7]",,1.0,Ground Pass,,27.802877,,,,,38412.0,Kolo Habib Touré,,,,,,,,,1,9,From Kick Off,15654.0,Martin Keown,5.0,Left Center Back,2,1,Arsenal,['d2d32c6a-781a-4c1f-94a5-0ebaf72a0f2e'],7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.561,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d2d32c6a-781a-4c1f-94a5-0ebaf72a0f2e,15,,,,"[28.1, 22.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['34d36274-7dcc-4116-8e26-39d8479bdd9c'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.639,42,Ball Receipt*,
,,,,,,,"[36.7, 27.1]",,,,,,,,,,,,,,,,,3.705013,,,,,,,,,,,,,,,,,,,,,5106a0fe-277a-4249-9763-e7e423601538,16,,,,"[28.1, 22.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['601950e0-22cf-4708-9f3d-16c4717446d3', 'd2d32c6a-781a-4c1f-94a5-0ebaf72a0f2e']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.639,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.608043,,,,,,,,,,,,,,,,,,,,,601950e0-22cf-4708-9f3d-16c4717446d3,17,,,,"[36.7, 27.1]",0,,,,1.544017,,40.0,Right Foot,,,,"[37.6, 60.7]",,1.0,Ground Pass,,33.612053,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['7efe92e0-f1f8-4a81-8885-71ad049d778e'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.344,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7efe92e0-f1f8-4a81-8885-71ad049d778e,18,,,,"[37.6, 60.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['601950e0-22cf-4708-9f3d-16c4717446d3'],13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.952,42,Ball Receipt*,
,,,,,,,"[44.1, 62.2]",,,,,,,,,,,,,,,,,2.284995,,,,,,,,,,,,,,,,,,,,,0791e0fe-5a52-4fb8-903a-4ff2f6ddd0f6,19,,,,"[37.6, 60.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['7efe92e0-f1f8-4a81-8885-71ad049d778e', 'd563367d-b440-483b-98c0-7fc1cbf099fa']",13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.952,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.019018,,,,,,,,,,,,,,,,,,,,,d563367d-b440-483b-98c0-7fc1cbf099fa,20,,,,"[44.1, 62.2]",0,,,,0.9338311,,40.0,Right Foot,,,,"[53.2, 74.5]",,1.0,Ground Pass,,15.300326,,,,,24972.0,Ray Parlour,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['8c61ccfa-ac83-44fd-8e27-88f72ec0ea4f'],16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.237,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c61ccfa-ac83-44fd-8e27-88f72ec0ea4f,21,,,,"[53.2, 74.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,1,Arsenal,['d563367d-b440-483b-98c0-7fc1cbf099fa'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.256,42,Ball Receipt*,
,,,,,,,"[56.1, 75.3]",,,,,,,,,,,,,,,,,1.535523,,,,,,,,,,,,,,,,,,,,,26c34295-121d-4e8b-88cf-6b808faa4084,22,,,,"[53.2, 74.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,1,Arsenal,"['8c61ccfa-ac83-44fd-8e27-88f72ec0ea4f', '979e7329-24d8-4f5b-ace8-17d09ef9b882']",17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.256,43,Carry,
