50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,half_start_late_video_start,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff93d7e3-1aa2-451b-bbe2-685971fa83c9,11,,,"[38.2, 12.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['99435c81-dc82-45aa-a2af-ddf33eb3bf8c'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.067,42,Ball Receipt*,
,,,,,,,,,"[38.2, 12.1]",,,,,,,,,,,,,,,,0.441396,,,,,,,,,,,,,,,,,,,,,,,b957f991-5ba9-403b-88aa-a3aa7e8ca395,12,,,"[38.2, 12.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['c721366f-05e3-4832-ba98-08e34c426bf7', 'ff93d7e3-1aa2-451b-bbe2-685971fa83c9']",4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.067,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,0.726747,,,,,,,,,,,,,,,,,,,,,,,c721366f-05e3-4832-ba98-08e34c426bf7,13,,,"[38.2, 12.1]",0,,,,,2.0000734,,38.0,Left Foot,,,,"[31.7, 26.3]",,1.0,Ground Pass,,15.616978,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['8049d30c-4088-4e9a-b390-5a5a311810d0'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.509,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8049d30c-4088-4e9a-b390-5a5a311810d0,14,,,"[31.7, 26.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['c721366f-05e3-4832-ba98-08e34c426bf7'],5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.235,42,Ball Receipt*,
,,,,,,,,,"[28.8, 29.5]",,,,,,,,,,,,,,,,1.657405,,,,,,,,,,,,,,,,,,,,,,,fcd2d996-94b1-468a-93ba-f0e2299cdaaf,15,,,"[31.7, 26.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['032fcd19-fc29-4e17-b343-356aa03fb5d9', '8049d30c-4088-4e9a-b390-5a5a311810d0']",5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.235,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,1.115722,,,,,,,,,,,,,,,,,,,,,,,032fcd19-fc29-4e17-b343-356aa03fb5d9,16,,,"[28.8, 29.5]",0,,,,,0.44303197,,40.0,Right Foot,,,,"[48.4, 38.8]",,1.0,Ground Pass,,21.69447,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['3ab5c469-ec09-4a1d-8f05-518078664c33'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.893,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ab5c469-ec09-4a1d-8f05-518078664c33,17,,,"[48.4, 38.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,13.0,Right Center Midfield,2,1,Arsenal,['032fcd19-fc29-4e17-b343-356aa03fb5d9'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.008,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,1.220872,,,,,,,,,,,,,,,,,,,,,,,9f496471-1428-4308-9ee4-b8dbaf45aeaa,18,,,"[48.4, 38.8]",0,,,,,2.6799572,,40.0,Right Foot,,,,"[28.5, 48.7]",,1.0,Ground Pass,,22.22656,,,,38412.0,Kolo Habib Touré,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,13.0,Right Center Midfield,2,1,Arsenal,['ccb5f51d-b5d7-49dc-b92a-2adbb4430fca'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.008,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccb5f51d-b5d7-49dc-b92a-2adbb4430fca,19,,,"[28.5, 48.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['9f496471-1428-4308-9ee4-b8dbaf45aeaa'],9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.229,42,Ball Receipt*,
,,,,,,,,,"[32.0, 51.2]",,,,,,,,,,,,,,,,1.943914,,,,,,,,,,,,,,,,,,,,,,,130455e6-b75e-43b0-8a57-dbd44695f04d,20,,,"[28.5, 48.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['cc5215b2-c671-4889-b8ba-561adb05c82a', 'ccb5f51d-b5d7-49dc-b92a-2adbb4430fca']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.229,43,Carry,
