ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,1.891422,,,,,,,,,,,,,,,,,,c333a21e-8975-4fdd-858d-c8ec3af8e282,11,,,"[46.8, 60.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40434.0,Paul Telfer,13.0,Right Center Midfield,2,1,Arsenal,"['4dab2376-9125-4c42-836f-823c4c59c575', '643a9a7f-c69a-443e-8adf-4dce2e7fb6bb']",5,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:05.087,17,Pressure,
,,,,,,,,,,,,,,,,,,,,0.984106,,,,,,,,,,,,,,,,,,4dab2376-9125-4c42-836f-823c4c59c575,12,,,"[66.6, 16.2]",0,,,,,-1.8540173,,40.0,Right Foot,,,"[62.7, 2.8]",,1.0,Ground Pass,,13.956002,,,,19312.0,Robert Pirès ,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,1,Arsenal,"['c333a21e-8975-4fdd-858d-c8ec3af8e282', 'fbb9c526-c2e1-43b7-86de-c6f23dce412a']",6,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.833,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbb9c526-c2e1-43b7-86de-c6f23dce412a,13,,,"[62.7, 2.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['4dab2376-9125-4c42-836f-823c4c59c575'],7,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.817,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,1.495325,,,,,,,,,,,,,,,,,,b382e98b-f877-4598-9dc8-b6d6dc8f543e,14,,,"[61.8, 2.8]",0,,,,,2.5644004,,38.0,Left Foot,,,"[53.2, 8.4]",,1.0,Ground Pass,,10.262553,9.0,Incomplete,,20302.0,Gaël Clichy,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['48348af8-30a9-483d-b51a-7d70fea9bb8b', '765dc508-99c1-4946-bd33-f826df008f67']",7,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.817,30,Pass,
9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765dc508-99c1-4946-bd33-f826df008f67,15,,,"[46.2, 5.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20302.0,Gaël Clichy,6.0,Left Back,2,1,Arsenal,['b382e98b-f877-4598-9dc8-b6d6dc8f543e'],9,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.312,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,48348af8-30a9-483d-b51a-7d70fea9bb8b,16,,,"[66.9, 71.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40442.0,James Beattie,22.0,Right Center Forward,3,25,Southampton,['b382e98b-f877-4598-9dc8-b6d6dc8f543e'],9,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:09.312,2,Ball Recovery,
,,,,,"[80.1, 75.6]",,,,,,,,,,,,,,,1.696093,,,,,,,,,,,,,,,,,,02a27b7b-afbd-41a0-ad1f-c66791d67921,17,,,"[66.9, 71.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40442.0,James Beattie,22.0,Right Center Forward,3,25,Southampton,"['48348af8-30a9-483d-b51a-7d70fea9bb8b', 'ca730f61-4b9c-42bd-823d-ba30db7eef68']",9,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:09.312,43,Carry,
,,,,,,,,,,,,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,a88abc3e-50c7-41dd-a5a2-ec96768bba07,18,,,"[40.0, 4.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,25,Southampton,['ca730f61-4b9c-42bd-823d-ba30db7eef68'],11,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.008,22,Foul Committed,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,ca730f61-4b9c-42bd-823d-ba30db7eef68,19,,,"[80.1, 75.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40442.0,James Beattie,22.0,Right Center Forward,3,25,Southampton,['a88abc3e-50c7-41dd-a5a2-ec96768bba07'],11,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:11.008,21,Foul Won,True
,,,,,,,,,,,,,,,,,,,,1.414735,,,,,,,,,,,,,,,,,,756f926c-6365-4738-a2ae-88663f2f2a16,20,,,"[81.0, 75.6]",0,,,,,-1.02429,,40.0,Right Foot,,,"[101.5, 41.9]",,3.0,High Pass,,39.445404,,,,40433.0,Kevin Phillips,,,,,,,62.0,Free Kick,1,3,From Free Kick,11009.0,Chris Baird,2.0,Right Back,4,25,Southampton,['2d94d9dd-78b1-43f5-a761-a5e216cb1b38'],32,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:32.252,30,Pass,
