50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,1.201171,,,,,,,,,,,,,,,,,,,1035cc5b-9866-48b3-8db9-5fd9acc8f12e,11,,,"[44.9, 29.8]",0,,,,,-1.4790546,,40.0,Right Foot,,,"[47.2, 4.8]",,1.0,Ground Pass,,25.105577,,,,,40304.0,Lee Naylor,,,,,,,,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,['04c88d58-307b-4030-ab8b-060400d06956'],3,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:03.382,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04c88d58-307b-4030-ab8b-060400d06956,12,,,"[47.2, 4.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40304.0,Lee Naylor,6.0,Left Back,2,46,Wolverhampton Wanderers,['1035cc5b-9866-48b3-8db9-5fd9acc8f12e'],4,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:04.583,42,Ball Receipt*,
,,,,,,,,,"[47.2, 5.3]",,,,,,,,,,,,,,,0.253113,,,,,,,,,,,,,,,,,,,fac31897-d2cc-46b5-b5db-48cec4f42f81,13,,,"[47.2, 4.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40304.0,Lee Naylor,6.0,Left Back,2,46,Wolverhampton Wanderers,"['04c88d58-307b-4030-ab8b-060400d06956', 'b35bbb20-bca4-42b6-8edd-7c24d183fbd7']",4,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:04.583,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,0.87286,,,,,,,,,,,,,,,,,,,b35bbb20-bca4-42b6-8edd-7c24d183fbd7,14,,,"[47.2, 5.3]",0,,,,,1.3090829,,38.0,Left Foot,,,"[51.7, 22.1]",,1.0,Ground Pass,,17.39224,,,,,40313.0,Colin Cameron,,,,,,,,1,9,From Kick Off,40304.0,Lee Naylor,6.0,Left Back,2,46,Wolverhampton Wanderers,['e5ba46a3-9205-4d82-ba2b-2741ffa9bfc2'],4,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:04.836,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e5ba46a3-9205-4d82-ba2b-2741ffa9bfc2,15,,,"[51.7, 22.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,['b35bbb20-bca4-42b6-8edd-7c24d183fbd7'],5,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:05.709,42,Ball Receipt*,
,,,,,,,,,"[51.2, 21.8]",,,,,,,,,,,,,,,1.099889,,,,,,,,,,,,,,,,,,,e529c2f1-2b14-4a4b-bdf0-9c8d49c9354a,16,,,"[51.7, 22.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,"['db61a936-04a3-40d3-a24c-58da6f699e2b', 'e5ba46a3-9205-4d82-ba2b-2741ffa9bfc2']",5,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:05.709,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.116703,,,,,,,,,,,,,,,,,,,db61a936-04a3-40d3-a24c-58da6f699e2b,17,,,"[51.2, 21.8]",0,,,,,0.28275597,,40.0,Right Foot,,,"[66.0, 26.1]",,1.0,Ground Pass,,15.412008,,,,,10525.0,Kenny Miller,,,,,,,,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,['7b8a2885-140f-4c30-9068-d6d2fe9995bb'],6,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:06.809,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,0.44888,,,,,,,,,,,,,,,,,,,d3b3930c-7129-43ba-b330-e7cc8e3c8956,18,,,"[54.0, 50.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,46,Wolverhampton Wanderers,"['7b8a2885-140f-4c30-9068-d6d2fe9995bb', '8070508c-13ae-489c-8fb4-935df8e31572']",7,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.885,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b8a2885-140f-4c30-9068-d6d2fe9995bb,19,,,"[66.0, 26.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,"['d3b3930c-7129-43ba-b330-e7cc8e3c8956', 'db61a936-04a3-40d3-a24c-58da6f699e2b']",7,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:07.925,42,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,0.724311,,,,,,,,,,,,,,,,,,,8070508c-13ae-489c-8fb4-935df8e31572,20,,,"[65.8, 26.2]",0,,,,,2.9648838,,40.0,Right Foot,,,"[60.2, 27.2]",,2.0,Low Pass,,5.6885853,,77.0,Unknown,,15405.0,Paul Ince,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,"['56eeb9a4-8b8c-40ee-80ee-a7b0af049989', 'd3b3930c-7129-43ba-b330-e7cc8e3c8956']",7,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:07.925,30,Pass,True
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56eeb9a4-8b8c-40ee-80ee-a7b0af049989,21,,,"[54.2, 31.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15405.0,Paul Ince,10.0,Center Defensive Midfield,2,46,Wolverhampton Wanderers,['8070508c-13ae-489c-8fb4-935df8e31572'],8,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:08.650,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,0.432645,,,,,,,,,,,,,,,,,,,0aad9395-6e8a-4ad6-8f24-d918c8b76a10,22,,,"[62.1, 57.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,9.0,Right Defensive Midfield,2,46,Wolverhampton Wanderers,,9,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.519,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,1.626226,,,,,,,,,,,,,,,,,,,487ca1c2-2d08-4c34-80cd-664866a38056,23,,,"[56.6, 20.8]",0,,,,,-0.45959905,,40.0,Right Foot,,,"[66.5, 15.9]",,1.0,Ground Pass,,11.046267,,9.0,Incomplete,,40305.0,Mark Kennedy,,,,,,66.0,Recovery,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,"['30384b77-d2e4-4d77-b761-bb263e1648e3', 'd7038e10-893d-494b-a462-bf5ca7b892de']",10,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:10.301,30,Pass,
