bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,1.253367,,,,,,,,,,,,,,,,,,,,,e9ea44f8-1a9c-4459-9f5b-d393455ee090,11,,,"[48.0, 33.7]",0,,,,,-2.005326,,40.0,Right Foot,,,,"[38.3, 12.8]",1.0,Ground Pass,,23.041267,,,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,['4892880e-7d50-471a-b1c7-7e865c61aadb'],5,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.025,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4892880e-7d50-471a-b1c7-7e865c61aadb,12,,,"[38.3, 12.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['e9ea44f8-1a9c-4459-9f5b-d393455ee090'],6,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.279,42,Ball Receipt*,
,,,,,,,"[36.9, 13.0]",,,,,,,,,,,,,,,,0.972928,,,,,,,,,,,,,,,,,,,,,7eb6cb0a-2599-4d61-980a-f2cb6eaca560,13,,,"[38.3, 12.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['0290ce0d-5bed-43aa-9153-5a25158d2015', '4892880e-7d50-471a-b1c7-7e865c61aadb']",6,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.279,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.292049,,,,,,,,,,,,,,,,,,,,,0290ce0d-5bed-43aa-9153-5a25158d2015,14,,,"[36.9, 13.0]",0,,,,,2.1235375,,38.0,Left Foot,,,,"[27.4, 28.4]",1.0,Ground Pass,,18.094475,,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['1bca2a53-9fa1-447f-935c-f3e375abb74e'],7,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.252,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1bca2a53-9fa1-447f-935c-f3e375abb74e,15,,,"[27.4, 28.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['0290ce0d-5bed-43aa-9153-5a25158d2015'],8,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.544,42,Ball Receipt*,
,,,,,,,"[26.6, 29.9]",,,,,,,,,,,,,,,,1.032709,,,,,,,,,,,,,,,,,,,,,b122e815-e158-490f-bc13-4d735bda3c31,16,,,"[27.4, 28.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['1bca2a53-9fa1-447f-935c-f3e375abb74e', '9c788b11-2240-463d-bde4-5f71b8dc0088']",8,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.544,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,2.493782,,,,,,,,,,,,,,,,,,,,,9c788b11-2240-463d-bde4-5f71b8dc0088,17,,,"[26.6, 29.9]",0,,,,,1.5877439,,40.0,Right Foot,,,,"[25.9, 71.2]",1.0,Ground Pass,,41.30593,,,,,,40222.0,Laureano Bisan-Etame Mayer,,True,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['2d0bed9a-4c92-4ce2-8e4a-416e8e40fb40'],9,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.576,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d0bed9a-4c92-4ce2-8e4a-416e8e40fb40,18,,,"[25.9, 71.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['9c788b11-2240-463d-bde4-5f71b8dc0088'],12,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.070,42,Ball Receipt*,
,,,,,,,"[24.9, 69.9]",,,,,,,,,,,,,,,,0.917337,,,,,,,,,,,,,,,,,,,,,91c3a18a-6e3b-440f-8260-9c7ceeb067ff,19,,,"[25.9, 71.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['2d0bed9a-4c92-4ce2-8e4a-416e8e40fb40', 'e01cb09a-705d-4569-be5c-5ea8c18f43e4']",12,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.070,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.666662,,,,,,,,,,,,,,,,,,,,,e01cb09a-705d-4569-be5c-5ea8c18f43e4,20,,,"[24.9, 69.9]",0,,,,,0.19829403,,40.0,Right Foot,,,,"[46.3, 74.2]",1.0,Ground Pass,,21.827734,,,,,,15754.0,Fredrik Ljungberg,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['5bc79a62-2133-4fdc-b452-5f7435cb3f94'],12,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.987,30,Pass,
