50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,4.584431,,,,,,,,,,,,,,,,,,,,b5ba979c-eeb4-4a90-a130-bdb66a150c54,11,,,"[52.0, 20.0]",0,,,,,-0.115657985,,40.0,Right Foot,,,,"[120.0, 12.1]",3.0,High Pass,,68.45736,,,75.0,Out,,,,,,,,,,66.0,Recovery,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,328,Bolton Wanderers,['7729e320-fb1d-4c5f-9544-4cd46cdc9c35'],6,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.395,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,3.140323,,,,,,,,,,,,,,,,,,,,4b82bbdf-4ac1-4800-86a9-7160b5c87873,12,,,"[6.0, 44.0]",0,,,,,-0.20764577,,40.0,Right Foot,,,,"[73.4, 29.8]",3.0,High Pass,,68.87961,,,9.0,Incomplete,,40388.0,Kevin Cyril Davies,,,,,,,63.0,Goal Kick,1,7,From Goal Kick,40385.0,Jussi Jääskeläinen,1.0,Goalkeeper,3,328,Bolton Wanderers,"['5c323c62-8af2-42e7-8b29-7207d5529837', 'd156012f-0ba1-4063-a7a9-3338c8bece9c']",34,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:34.189,30,Pass,
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c323c62-8af2-42e7-8b29-7207d5529837,13,,,"[73.4, 29.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40388.0,Kevin Cyril Davies,23.0,Center Forward,3,328,Bolton Wanderers,['4b82bbdf-4ac1-4800-86a9-7160b5c87873'],37,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:37.329,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,0.0,,,,,,,,,,,,,,,,,,,,79cf098c-da23-410e-b4e5-43f9be29e59c,14,,,"[73.4, 29.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40388.0,Kevin Cyril Davies,23.0,Center Forward,3,328,Bolton Wanderers,['d156012f-0ba1-4063-a7a9-3338c8bece9c'],37,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:37.329,4,Duel,True
,,,,,,,,True,37.0,Head,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,d156012f-0ba1-4063-a7a9-3338c8bece9c,15,,,"[46.7, 50.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",3.0,Right Center Back,3,328,Bolton Wanderers,"['4b82bbdf-4ac1-4800-86a9-7160b5c87873', '79cf098c-da23-410e-b4e5-43f9be29e59c']",37,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:37.329,9,Clearance,True
,,,,,,,,,,,,,,,,,,,,,,,,0.050892,,,,,,,,,,,,,,,,,,,,f8365860-ef91-47d4-a312-a279c98940e9,16,,,"[48.0, 31.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40390.0,Simon Charlton,5.0,Left Center Back,3,328,Bolton Wanderers,['fe7c819f-a2bf-4019-82d0-4516906577f8'],38,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:38.517,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,0.32866,,,,,,,,,,,,,,,,,,,,fe7c819f-a2bf-4019-82d0-4516906577f8,17,,,"[71.2, 49.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,328,Bolton Wanderers,['f8365860-ef91-47d4-a312-a279c98940e9'],38,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:38.531,17,Pressure,True
,,,,,,,,,,,,,,,,,,,,,,,,1.93497,,,,,,,,,,,,,,,,,,,,c57d0a88-c722-45a2-ba9c-84c19e0b9456,18,,,"[55.7, 36.1]",0,,,,,-3.0329313,,40.0,Right Foot,,,,"[50.2, 35.5]",1.0,Ground Pass,,5.5326304,,,,,,40390.0,Simon Charlton,,,,,,,66.0,Recovery,1,7,From Goal Kick,40386.0,Iván Campo Ramos,10.0,Center Defensive Midfield,3,328,Bolton Wanderers,['6fb8d990-d512-438c-8580-5d22974dc78e'],39,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:39.218,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6fb8d990-d512-438c-8580-5d22974dc78e,19,,,"[50.2, 35.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40390.0,Simon Charlton,5.0,Left Center Back,3,328,Bolton Wanderers,['c57d0a88-c722-45a2-ba9c-84c19e0b9456'],41,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:41.153,42,Ball Receipt*,
,,,,,,,"[43.3, 33.6]",,,,,,,,,,,,,,,,,0.14826,,,,,,,,,,,,,,,,,,,,5cb85c30-6ea3-46ed-8520-1e58906c3f0e,20,,,"[50.2, 35.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40390.0,Simon Charlton,5.0,Left Center Back,3,328,Bolton Wanderers,"['0a12a74a-2d40-4d32-9b1e-7505a0810226', '6fb8d990-d512-438c-8580-5d22974dc78e']",41,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:41.153,43,Carry,
