ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,3.495979,,,,,,,,,,,,,,,,,,,,,c9a5a923-24d2-447b-8435-ea4449a1af0a,11,,,"[53.6, 39.2]",0,,,,,-0.51992613,,40.0,Right Foot,,,,"[95.0, 15.5]",,3.0,High Pass,,47.703773,,9.0,Incomplete,40298.0,Jamie Clapham,,,,,,,,,1,9,From Kick Off,40290.0,Robbie Savage,15.0,Left Center Midfield,2,54,Birmingham City,"['2182bc7f-9597-4f99-88c9-d49ab24bc1cf', '6eee232b-db54-44f1-9e4f-f553cb00ffc0', '7d099d70-c685-402d-9925-aac57f478b8f']",2,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:02.453,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,1.098634,,,,,,,,,,,,,,,,,,,,,f03e1615-0849-4176-8649-3e565efaea8d,12,,,"[83.6, 6.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40298.0,Jamie Clapham,6.0,Left Back,2,54,Birmingham City,,4,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:04.831,17,Pressure,
9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182bc7f-9597-4f99-88c9-d49ab24bc1cf,13,,,"[93.1, 14.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40298.0,Jamie Clapham,6.0,Left Back,2,54,Birmingham City,['c9a5a923-24d2-447b-8435-ea4449a1af0a'],5,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:05.949,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,2.140097,,,,,,,,,,,,,,,,,,,,,6eee232b-db54-44f1-9e4f-f553cb00ffc0,14,,,"[25.1, 64.6]",0,,,,,0.009132166,,37.0,Head,,,,"[47.0, 64.8]",,3.0,High Pass,,21.900913,,9.0,Incomplete,,,,,,,,,66.0,Recovery,1,9,From Kick Off,38412.0,Kolo Habib Touré,2.0,Right Back,2,54,Birmingham City,"['4436ee02-1e00-433f-8f3f-db3d819569b1', 'c9a5a923-24d2-447b-8435-ea4449a1af0a']",5,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.949,30,Pass,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,4436ee02-1e00-433f-8f3f-db3d819569b1,15,,,"[73.1, 15.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40302.0,David Dunn,19.0,Center Attacking Midfield,2,54,Birmingham City,['6eee232b-db54-44f1-9e4f-f553cb00ffc0'],8,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:08.089,2,Ball Recovery,
,,,,,"[77.9, 19.2]",,,,,,,,,,,,,,,,2.537315,,,,,,,,,,,,,,,,,,,,,13df0792-5a10-4efc-bc25-219e33ee8393,16,,,"[73.1, 15.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40302.0,David Dunn,19.0,Center Attacking Midfield,2,54,Birmingham City,"['4436ee02-1e00-433f-8f3f-db3d819569b1', '4b3a03f3-e5c5-48b8-b4ba-5fe206c183bf', 'd54b181f-a548-4e02-859b-aa91e4b5d250']",8,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:08.089,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.530059,,,,,,,,,,,,,,,,,,,,,4b3a03f3-e5c5-48b8-b4ba-5fe206c183bf,17,,,"[42.2, 66.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,54,Birmingham City,['13df0792-5a10-4efc-bc25-219e33ee8393'],9,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.038,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,0.720673,,,,,,,,,,,,,,,,,,,,,8ba7160e-a45d-4dae-892b-478fd79cf0bf,18,,,"[37.2, 61.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,11.0,Left Defensive Midfield,2,54,Birmingham City,['d54b181f-a548-4e02-859b-aa91e4b5d250'],10,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.121,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.324493,,,,,,,,,,,,,,,,,,,,,d54b181f-a548-4e02-859b-aa91e4b5d250,19,,,"[77.9, 19.2]",0,,,,,0.83248377,,40.0,Right Foot,,,,"[87.0, 29.2]",,1.0,Ground Pass,,13.520725,,,,40301.0,Mikael Forssell,,,,,,,,,1,9,From Kick Off,40302.0,David Dunn,19.0,Center Attacking Midfield,2,54,Birmingham City,"['272a9482-b507-4d87-b861-9f8b7dacb1c7', '8ba7160e-a45d-4dae-892b-478fd79cf0bf']",10,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:10.626,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,0.471986,,,,,,,,,,,,,,,,,,,,,7e6662a7-b750-48e2-9705-2afc43d8cac5,20,,,"[30.9, 48.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26194.0,Pascal Cygan,5.0,Left Center Back,2,54,Birmingham City,"['272a9482-b507-4d87-b861-9f8b7dacb1c7', 'a926e8cf-debe-4302-b806-f4c05fca54e9']",11,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.794,17,Pressure,
