ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,1.087332,,,,,,,,,,,,,,,,,,,,,65ce495e-3891-4738-8797-cf52859c429e,11,,,"[41.6, 7.6]",0,,,,,-0.31362066,,38.0,Left Foot,,,"[49.0, 5.2]",,1.0,Ground Pass,7.77946,,,,,,19312.0,Robert Pirès ,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,5.0,Left Center Back,2,1,Arsenal,['ef07a985-1f3d-4bd0-a16b-99a3a464be13'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.813,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef07a985-1f3d-4bd0-a16b-99a3a464be13,12,,,"[49.0, 5.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,8.0,Left Wing Back,2,1,Arsenal,['65ce495e-3891-4738-8797-cf52859c429e'],5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.901,42,Ball Receipt*,
,,,"[49.0, 5.2]",,,,,,,,,,,,,,,1.259155,,,,,,,,,,,,,,,,,,,,,9e769a83-29ef-4855-895d-41f2e67af481,13,,,"[49.0, 5.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,8.0,Left Wing Back,2,1,Arsenal,"['57f160a4-9277-4c90-a95c-05c050850c39', 'ef07a985-1f3d-4bd0-a16b-99a3a464be13']",5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.901,43,Carry,
,,,,,,,,,,,,,,,,,,0.870896,,,,,,,,,,,,,,,,,,,,,57f160a4-9277-4c90-a95c-05c050850c39,14,,,"[49.0, 5.2]",0,,,,,-2.9441972,,40.0,Right Foot,,,"[41.0, 3.6]",,1.0,Ground Pass,8.158431,,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,8.0,Left Wing Back,2,1,Arsenal,['ecc449f8-7b33-4191-9bd7-8ba90e62a0e4'],7,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.160,30,Pass,
,,,,,,,,,,,,,,,,,,2.376575,,,,,,,,,,,,,,,,,,,,,17976a05-5fb3-47d1-a9fb-e4c32d6f900b,15,,,"[78.1, 74.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,11270.0,Eiður Smári Guðjohnsen,22.0,Right Center Forward,2,1,Arsenal,"['a67460f7-fb49-4d2e-8bac-27b092d6d807', 'ecc449f8-7b33-4191-9bd7-8ba90e62a0e4']",7,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:07.612,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecc449f8-7b33-4191-9bd7-8ba90e62a0e4,16,,,"[41.0, 3.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,5.0,Left Center Back,2,1,Arsenal,"['17976a05-5fb3-47d1-a9fb-e4c32d6f900b', '57f160a4-9277-4c90-a95c-05c050850c39']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.031,42,Ball Receipt*,True
,,,"[64.3, 5.2]",,,,,,,,,,,,,,,3.311246,,,,,,,,,,,,,,,,,,,,,a67460f7-fb49-4d2e-8bac-27b092d6d807,17,,,"[41.0, 3.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,5.0,Left Center Back,2,1,Arsenal,"['17976a05-5fb3-47d1-a9fb-e4c32d6f900b', '2450c597-07bb-4ed3-9647-bb2eae4d6361', 'ecc449f8-7b33-4191-9bd7-8ba90e62a0e4']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.031,43,Carry,True
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2450c597-07bb-4ed3-9647-bb2eae4d6361,18,,,"[64.3, 5.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,5.0,Left Center Back,2,1,Arsenal,['6548df8a-3246-4583-ac33-902c2c7c1e28'],11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.342,3,Dispossessed,True
,,,,,,,,,,,,,,13.0,Lost In Play,11.0,Tackle,0.0,,,,,,,,,,,,,,,,,,,,,6548df8a-3246-4583-ac33-902c2c7c1e28,19,,,"[55.8, 74.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,11270.0,Eiður Smári Guðjohnsen,22.0,Right Center Forward,2,1,Arsenal,['2450c597-07bb-4ed3-9647-bb2eae4d6361'],11,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:11.342,4,Duel,True
,,,,,,,,,,,,,,,,,,0.795647,,,,,,,,,,,,,,,,,,,,,6c437e1a-2427-433e-8b57-832e040bd074,20,,,"[56.5, 1.9]",0,,,,,2.2603354,,40.0,Right Foot,,,"[51.8, 7.6]",,3.0,High Pass,7.387828,,,,,,19312.0,Robert Pirès ,,,,,,66.0,Recovery,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,5.0,Left Center Back,2,1,Arsenal,['2637aadb-9d00-4215-9df1-9a695e4945c7'],12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.569,30,Pass,
