ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,4.083044,,,,,,,,,,,,,,,,,,,2c618da1-c003-44d5-9e2b-7fc03204dc65,11,,,"[43.8, 77.2]",0,,,,,-0.33462158,,40.0,Right Foot,,,"[111.1, 53.8]",,3.0,High Pass,,71.252014,,9.0,Incomplete,,,,,,,,,,,,1,9,From Kick Off,26649.0,Jermaine Pennant,12.0,Right Midfield,2,101,Leeds United,['07034a53-d83d-4976-8c23-f8c3e9631014'],6,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:06.890,30,Pass,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,07034a53-d83d-4976-8c23-f8c3e9631014,12,,,"[9.0, 26.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20015.0,Jens Lehmann,1.0,Goalkeeper,3,1,Arsenal,['2c618da1-c003-44d5-9e2b-7fc03204dc65'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.973,2,Ball Recovery,
,,,,"[9.0, 32.7]",,,,,,,,,,,,,,,,4.550157,,,,,,,,,,,,,,,,,,,70dc9b43-a5b1-435d-a759-81c466821e31,13,,,"[9.0, 26.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20015.0,Jens Lehmann,1.0,Goalkeeper,3,1,Arsenal,"['07034a53-d83d-4976-8c23-f8c3e9631014', '2ce95c5f-3fc4-4690-b512-b2e88ba102ac']",10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.973,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.181381,,,,,,,,,,,,,,,,,,,2ce95c5f-3fc4-4690-b512-b2e88ba102ac,14,,,"[9.0, 32.7]",0,,,,,-0.62195694,,69.0,Keeper Arm,,,"[25.6, 20.8]",,2.0,Low Pass,,20.42474,,,,,20302.0,Gaël Clichy,,,,,,,,,1,1,Regular Play,20015.0,Jens Lehmann,1.0,Goalkeeper,3,1,Arsenal,['4c8aae59-0f6c-49e3-9001-76248fdab30a'],15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.523,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c8aae59-0f6c-49e3-9001-76248fdab30a,15,,,"[25.6, 20.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,1,Arsenal,['2ce95c5f-3fc4-4690-b512-b2e88ba102ac'],15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.704,42,Ball Receipt*,
,,,,"[26.7, 8.2]",,,,,,,,,,,,,,,,1.921863,,,,,,,,,,,,,,,,,,,1ac9516a-e507-4f32-a4bc-76fcf39f0458,16,,,"[25.6, 20.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,1,Arsenal,"['4c8aae59-0f6c-49e3-9001-76248fdab30a', '4e1343b3-7035-4c11-9d21-11aa9ceae159']",15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.704,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.969489,,,,,,,,,,,,,,,,,,,4e1343b3-7035-4c11-9d21-11aa9ceae159,17,,,"[26.7, 8.2]",0,,,,,0.3847738,,38.0,Left Foot,,,"[38.8, 13.1]",,1.0,Ground Pass,,13.054502,,,,,15515.0,Patrick Vieira,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,1,Arsenal,['aaf038c4-e122-4058-880a-a701b34d56b8'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.626,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaf038c4-e122-4058-880a-a701b34d56b8,18,,,"[38.8, 13.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,['4e1343b3-7035-4c11-9d21-11aa9ceae159'],18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.596,42,Ball Receipt*,
,,,,"[38.8, 13.1]",,,,,,,,,,,,,,,,0.233502,,,,,,,,,,,,,,,,,,,369830ce-4a20-413a-af4e-22c95328c9c4,19,,,"[38.8, 13.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,"['a9c1fefd-b063-402e-91b2-4c6f5dd4a623', 'aaf038c4-e122-4058-880a-a701b34d56b8']",18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.596,43,Carry,
,,,,,,,,,,,,,,,,,,,,1.531253,,,,,,,,,,,,,,,,,,,a9c1fefd-b063-402e-91b2-4c6f5dd4a623,20,,,"[38.8, 13.1]",0,,,,,-1.1229577,,40.0,Right Foot,,,"[43.7, 2.9]",,1.0,Ground Pass,,11.315918,,,,,20302.0,Gaël Clichy,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,['5763efca-5852-4046-b838-f8f8a92f0031'],18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.829,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5763efca-5852-4046-b838-f8f8a92f0031,21,,,"[43.7, 2.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,1,Arsenal,['a9c1fefd-b063-402e-91b2-4c6f5dd4a623'],20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.360,42,Ball Receipt*,
,,,,"[63.1, 4.6]",,,,,,,,,,,,,,,,1.544276,,,,,,,,,,,,,,,,,,,90bd0713-2b16-4eb8-b304-a9203c0526ec,22,,,"[43.7, 2.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,1,Arsenal,"['5763efca-5852-4046-b838-f8f8a92f0031', '5ddeaf4f-5675-47de-9259-98fcdb59c88e']",20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.360,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.808234,,,,,,,,,,,,,,,,,,,5ddeaf4f-5675-47de-9259-98fcdb59c88e,23,,,"[63.1, 4.6]",0,,,,,0.32855317,,38.0,Left Foot,,,"[80.7, 10.6]",,2.0,Low Pass,,18.594624,,,,,15516.0,Thierry Henry,,,,,,,,,1,1,Regular Play,20302.0,Gaël Clichy,6.0,Left Back,3,1,Arsenal,['3becd73c-a915-4339-aa2a-083cdbe5aee9'],21,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:21.905,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3becd73c-a915-4339-aa2a-083cdbe5aee9,24,,,"[80.7, 10.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15516.0,Thierry Henry,24.0,Left Center Forward,3,1,Arsenal,['5ddeaf4f-5675-47de-9259-98fcdb59c88e'],22,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:22.713,42,Ball Receipt*,
,,,,"[83.5, 8.4]",,,,,,,,,,,,,,,,1.608185,,,,,,,,,,,,,,,,,,,3fba8cdf-88e7-4007-ae5d-ffba3bac1f22,25,,,"[80.7, 10.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15516.0,Thierry Henry,24.0,Left Center Forward,3,1,Arsenal,"['3becd73c-a915-4339-aa2a-083cdbe5aee9', '4d462615-c1d1-49d4-a7e8-84da8b470cbb']",22,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:22.713,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.549166,,,,,,,,,,,,,,,,,,,4d462615-c1d1-49d4-a7e8-84da8b470cbb,26,,,"[83.5, 8.4]",0,,,,,0.64205813,,40.0,Right Foot,,,"[94.6, 16.7]",,2.0,Low Pass,,13.860014,,9.0,Incomplete,,19312.0,Robert Pirès ,,,,,,,,,1,1,Regular Play,15516.0,Thierry Henry,24.0,Left Center Forward,3,1,Arsenal,"['574c19f5-1367-41d3-88b2-df31129e9097', 'b74d4c0b-b63f-4d77-8f0c-8b78d7c5e629']",24,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:24.321,30,Pass,
