ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,1.203699,,,,,,,,,,,,,,,,,,,,,,7a9e4bcf-d6d9-453a-a4ab-c5c19489646b,11,,,"[46.7, 68.9]",0,,,,0.5232783,,40.0,Right Foot,,,,"[54.5, 73.4]",,1.0,Ground Pass,,9.004998,,,,,15754.0,Fredrik Ljungberg,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['66f3ea0a-ccc5-417a-8134-b9e400a2ba9c'],5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.305,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f3ea0a-ccc5-417a-8134-b9e400a2ba9c,12,,,"[54.5, 73.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,['7a9e4bcf-d6d9-453a-a4ab-c5c19489646b'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.509,42,Ball Receipt*,
,,,,,"[54.9, 73.2]",,,,,,,,,,,,,,,,0.636673,,,,,,,,,,,,,,,,,,,,,,02221287-278f-4a3a-be77-3dd0f1fc1d09,13,,,"[54.5, 73.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,"['66f3ea0a-ccc5-417a-8134-b9e400a2ba9c', 'f8c972df-6b67-45de-98e2-87720bb43536']",6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.509,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.094971,,,,,,,,,,,,,,,,,,,,,,f8c972df-6b67-45de-98e2-87720bb43536,14,,,"[54.9, 73.2]",0,,,,-1.3811827,,40.0,Right Foot,,,,"[56.8, 63.3]",,1.0,Ground Pass,,10.080674,,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,['5e5b4022-e7f1-4627-9fcc-49fb1e87cec7'],7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.145,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e5b4022-e7f1-4627-9fcc-49fb1e87cec7,15,,,"[56.8, 63.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,11.0,Left Defensive Midfield,2,1,Arsenal,['f8c972df-6b67-45de-98e2-87720bb43536'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.240,42,Ball Receipt*,
,,,,,"[56.6, 67.6]",,,,,,,,,,,,,,,,0.567171,,,,,,,,,,,,,,,,,,,,,,5e8c0b05-b000-4a43-8ba2-f32b5e7bed20,16,,,"[56.8, 63.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,11.0,Left Defensive Midfield,2,1,Arsenal,"['433cdaa2-b3af-4920-90f6-577fff9add34', '5e5b4022-e7f1-4627-9fcc-49fb1e87cec7']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.240,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.628329,,,,,,,,,,,,,,,,,,,,,,433cdaa2-b3af-4920-90f6-577fff9add34,17,,,"[56.6, 67.6]",0,,,,2.505904,,38.0,Left Foot,,,,"[46.3, 75.2]",,1.0,Ground Pass,,12.80039,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,11.0,Left Defensive Midfield,2,1,Arsenal,['8d595800-5d22-4400-853b-83bc1d6857e0'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.807,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d595800-5d22-4400-853b-83bc1d6857e0,18,,,"[46.3, 75.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['433cdaa2-b3af-4920-90f6-577fff9add34'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.436,42,Ball Receipt*,
,,,,,"[46.3, 75.2]",,,,,,,,,,,,,,,,0.455769,,,,,,,,,,,,,,,,,,,,,,d99b9fa3-8420-4ada-b9e8-a59a84a1ea00,19,,,"[46.3, 75.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['57d5a2a8-d14b-4bfd-861c-e38022e27a9c', '8d595800-5d22-4400-853b-83bc1d6857e0']",10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.436,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.800254,,,,,,,,,,,,,,,,,,,,,,57d5a2a8-d14b-4bfd-861c-e38022e27a9c,20,,,"[46.3, 75.2]",0,,,,-2.3561945,,40.0,Right Foot,,,,"[32.4, 61.3]",,1.0,Ground Pass,,19.657568,,,,,38412.0,Kolo Habib Touré,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['30c4ce64-d0ba-4455-a5f4-1080473fe7e5'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.892,30,Pass,
