bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.800205,,,,,,,,,,,,,,,,,,,,,,b9d1f283-7ed7-4284-8a37-5df5e7a8eca3,11,,,,"[58.8, 41.1]",0,,,,-0.9034902,,40.0,Right Foot,,,,"[69.2, 27.9]",2.0,Low Pass,16.804762,,,,,20175.0,Ryan Giggs,,,,,,,,,1,9,From Kick Off,24805.0,Roy Keane,10.0,Center Defensive Midfield,2,39,Manchester United,['088cdc9f-4a55-4b20-9fd7-8b7a9800cbdc'],3,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:03.663,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088cdc9f-4a55-4b20-9fd7-8b7a9800cbdc,12,,,,"[69.2, 27.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,2,39,Manchester United,['b9d1f283-7ed7-4284-8a37-5df5e7a8eca3'],4,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:04.463,42,Ball Receipt*,
,,,,,"[71.0, 32.4]",,,,,,,,,,,,,,,,2.865223,,,,,,,,,,,,,,,,,,,,,,55e1829d-e074-42fa-8bde-4b24dd2fbd35,13,,,,"[69.2, 27.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,2,39,Manchester United,"['088cdc9f-4a55-4b20-9fd7-8b7a9800cbdc', '4c05bc0f-cbdb-4e87-ab67-69d7e17dc701', '927ddddc-8aa2-4eb2-9a17-0c58890b8c11']",4,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:04.463,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.453903,,,,,,,,,,,,,,,,,,,,,,4c05bc0f-cbdb-4e87-ab67-69d7e17dc701,14,,,,"[50.3, 56.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,39,Manchester United,['55e1829d-e074-42fa-8bde-4b24dd2fbd35'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.906,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,0.122279,,,,,,,,,,,,,,,,,,,,,,927ddddc-8aa2-4eb2-9a17-0c58890b8c11,15,,,,"[71.0, 32.4]",0,,,,1.3825748,,40.0,Right Foot,,,,"[71.4, 34.5]",1.0,Ground Pass,2.1377559,,9.0,Incomplete,,19729.0,Ruud van Nistelrooy,,,,,,,,,1,9,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,2,39,Manchester United,"['0ecaf4a6-6a1f-45f5-ad5d-4bc509868565', '684eea98-d4d0-4e45-93cc-02261a7c0188']",7,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:07.328,30,Pass,
,,,,,,,,,,,,,,,,,,,,,0.068748,,,,,,,,,,,,,,,,,,,,,,123a237c-7193-4a21-a19b-7ce5c6449229,16,,,,"[47.9, 45.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,39,Manchester United,,7,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.359,17,Pressure,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ecaf4a6-6a1f-45f5-ad5d-4bc509868565,17,,,,"[73.3, 42.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19729.0,Ruud van Nistelrooy,23.0,Center Forward,2,39,Manchester United,['927ddddc-8aa2-4eb2-9a17-0c58890b8c11'],7,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:07.450,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,684eea98-d4d0-4e45-93cc-02261a7c0188,18,,,,"[48.7, 45.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,39,Manchester United,['927ddddc-8aa2-4eb2-9a17-0c58890b8c11'],7,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.450,6,Block,
,,,,,,,,,,,,,,,,,,,,,0.463477,,,,,,,,,,,,,,,,,,,,,,59603828-a565-478f-b53e-f9024fa0f60c,19,,,,"[70.2, 35.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,2,39,Manchester United,['35a1f5db-fe08-4369-9c5c-4e4c2afc207c'],8,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:08.365,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,0.326078,,,,,,,,,,,,,,,,,,,,,,35a1f5db-fe08-4369-9c5c-4e4c2afc207c,20,,,,"[47.2, 44.8]",0,,,,2.0268683,,40.0,Right Foot,,,,"[44.6, 50.1]",1.0,Ground Pass,5.903389,,,,,24972.0,Ray Parlour,,,,,,,66.0,Recovery,1,1,Regular Play,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,"['59603828-a565-478f-b53e-f9024fa0f60c', '988c67a2-1b93-4a48-866f-9403fb78bbc0']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.736,30,Pass,True
