ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,0.717783,,,,,,,,,,,,,,,,,,,,,9dcc1bb6-7990-4d8a-a6cc-55886c1feefb,11,,,"[71.6, 46.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40388.0,Kevin Cyril Davies,23.0,Center Forward,2,1,Arsenal,"['8c3a5051-f039-4f70-b59e-dc3158a7660b', 'd59d05a9-4647-4957-baf9-9e8c280b0106']",2,,,,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:02.954,17,Pressure,
,,,,,,,,,,,,,,,,,,,,1.102921,,,,,,,,,,,,,,,,,,,,,d59d05a9-4647-4957-baf9-9e8c280b0106,12,,,"[44.3, 36.0]",0,,,,,-1.7023282,,38.0,Left Foot,,,,"[40.9, 10.3]",,2.0,Low Pass,,25.923927,,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,"['9dcc1bb6-7990-4d8a-a6cc-55886c1feefb', '9efd5a7c-e006-43a3-8e0d-5a2618502272']",3,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.396,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9efd5a7c-e006-43a3-8e0d-5a2618502272,13,,,"[40.9, 10.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['d59d05a9-4647-4957-baf9-9e8c280b0106'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.499,42,Ball Receipt*,
,,,,,"[40.9, 10.3]",,,,,,,,,,,,,,,0.81357,,,,,,,,,,,,,,,,,,,,,fa8ec047-e1f9-43de-b56f-1307ec961993,14,,,"[40.9, 10.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['17d457d0-b94e-4495-bd60-b9b84cd60b18', '9efd5a7c-e006-43a3-8e0d-5a2618502272']",4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.499,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.880933,,,,,,,,,,,,,,,,,,,,,17d457d0-b94e-4495-bd60-b9b84cd60b18,15,,,"[40.9, 10.3]",0,,,,,0.8606328,,38.0,Left Foot,,,,"[50.1, 21.0]",,1.0,Ground Pass,,14.111343,,,,,26014.0,Eduardo César Daude Gaspar,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['15fef074-bdca-44e2-822a-8d03f176dfaa'],5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.313,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15fef074-bdca-44e2-822a-8d03f176dfaa,16,,,"[50.1, 21.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,['17d457d0-b94e-4495-bd60-b9b84cd60b18'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.194,42,Ball Receipt*,
,,,,,"[50.1, 21.0]",,,,,,,,,,,,,,,0.599765,,,,,,,,,,,,,,,,,,,,,5b1ea89b-20fc-48c1-83ba-4a36d0f9d9b2,17,,,"[50.1, 21.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,"['15fef074-bdca-44e2-822a-8d03f176dfaa', '1fd5666d-48e9-47d8-b119-c35f34db9f58']",6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.194,43,Carry,
,,,,,,,,,,,,,,,,,,,,1.263062,,,,,,,,,,,,,,,,,,,,,1fd5666d-48e9-47d8-b119-c35f34db9f58,18,,,"[50.1, 21.0]",0,,,,,-1.0149255,,38.0,Left Foot,,,,"[62.4, 1.2]",,1.0,Ground Pass,,23.30944,,,,,19312.0,Robert Pirès ,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,['57484f41-acb2-4337-8a14-d32535a9f97d'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.794,30,Pass,
,,,,,,,,,,,,,,,,,,,,0.576169,,,,,,,,,,,,,,,,,,,,,bf448169-b21a-4981-9199-d0fa17633312,19,,,"[54.3, 77.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,9353.0,Nicky Hunt,2.0,Right Back,2,1,Arsenal,"['0791ec5d-c860-41e3-b216-8a0dd54fc181', '29a95175-f8b2-454f-bebc-c09cde3542db', '57484f41-acb2-4337-8a14-d32535a9f97d']",7,,,,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:07.735,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57484f41-acb2-4337-8a14-d32535a9f97d,20,,,"[62.4, 1.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['1fd5666d-48e9-47d8-b119-c35f34db9f58', 'bf448169-b21a-4981-9199-d0fa17633312']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.057,42,Ball Receipt*,True
