50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,1.488095,,,,,,,,,,,,,,,,,,,,,,97ff1ba4-5235-4bd1-9c00-308abfaae039,11,,,"[43.2, 28.7]",0,,,,,-2.0555887,,40.0,Right Foot,,,"[36.3, 15.6]",1.0,Ground Pass,,14.80608,,,,,12529.0,Ashley Cole,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,['12d5e27e-765c-4a57-9bf3-ead81dd22543'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.343,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12d5e27e-765c-4a57-9bf3-ead81dd22543,12,,,"[36.3, 15.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['97ff1ba4-5235-4bd1-9c00-308abfaae039'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.831,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,0.712966,,,,,,,,,,,,,,,,,,,,,,7266297c-ef36-4b83-9aad-3d8f747624de,13,,,"[35.1, 15.6]",0,,,,,1.3078016,,38.0,Left Foot,,,"[37.9, 26.0]",2.0,Low Pass,,10.770329,,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['d8ef6b9b-bbc7-45f7-b199-120567426bc4'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.831,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8ef6b9b-bbc7-45f7-b199-120567426bc4,14,,,"[37.9, 26.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,['7266297c-ef36-4b83-9aad-3d8f747624de'],5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.544,42,Ball Receipt*,
,,,,,"[33.0, 29.6]",,,,,,,,,,,,,,,,2.043474,,,,,,,,,,,,,,,,,,,,,,aeb5d0d3-3306-4efb-9777-d44f79edf7cc,15,,,"[37.9, 26.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,"['703542e8-1ac6-4a0f-8206-c016e058bd89', '9603dbc2-74af-452d-a6f3-3c330e975a37', 'd8ef6b9b-bbc7-45f7-b199-120567426bc4']",5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.544,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,1.160969,,,,,,,,,,,,,,,,,,,,,,703542e8-1ac6-4a0f-8206-c016e058bd89,16,,,"[76.7, 53.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,22.0,Right Center Forward,2,1,Arsenal,['aeb5d0d3-3306-4efb-9777-d44f79edf7cc'],6,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:06.374,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.003837,,,,,,,,,,,,,,,,,,,,,,9603dbc2-74af-452d-a6f3-3c330e975a37,17,,,"[33.0, 29.6]",0,,,,,0.7853982,,40.0,Right Foot,,,"[44.3, 40.9]",1.0,Ground Pass,,15.980614,,,,,24972.0,Ray Parlour,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,['d159d1d3-43f7-4c4a-b631-df41a2fa890f'],7,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.587,30,Pass,
,,,,,,,,,,,,,,,,,,,,,0.389836,,,,,,,,,,,,,,,,,,,,,,ec4a1208-0590-4b2f-a5c5-2c2bbfed9f44,18,,,"[74.1, 38.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20153.0,Claus Jensen,15.0,Left Center Midfield,2,1,Arsenal,"['515bb714-9a4d-4bf2-b660-b1417e9cf2db', '69bda076-e907-4037-a2ab-20c33643efc9', 'd159d1d3-43f7-4c4a-b631-df41a2fa890f']",8,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:08.389,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d159d1d3-43f7-4c4a-b631-df41a2fa890f,19,,,"[44.3, 40.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,"['9603dbc2-74af-452d-a6f3-3c330e975a37', 'ec4a1208-0590-4b2f-a5c5-2c2bbfed9f44']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.591,42,Ball Receipt*,True
,,,,,"[43.7, 41.0]",,,,,,,,,,,,,,,,0.028636001,,,,,,,,,,,,,,,,,,,,,,69bda076-e907-4037-a2ab-20c33643efc9,20,,,"[44.3, 40.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,"['515bb714-9a4d-4bf2-b660-b1417e9cf2db', 'd159d1d3-43f7-4c4a-b631-df41a2fa890f', 'ec4a1208-0590-4b2f-a5c5-2c2bbfed9f44']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.591,43,Carry,True
