50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,2.375308,,,,,,,,,,,,,,,,,,,,,0575832b-4813-46c2-a637-5750bd409bfa,11,,,"[48.1, 70.2]",0,,,,,-0.40623948,,40.0,Right Foot,,,,"[101.8, 47.1]",,3.0,High Pass,,58.457676,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,20281.0,Mario Melchiot,3.0,Right Center Back,2,33,Chelsea,['48f368f1-35dd-4c63-94cd-82735b24c663'],5,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:05.906,30,Pass,
,,,,,,,,,37.0,Head,True,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,48f368f1-35dd-4c63-94cd-82735b24c663,12,,,"[18.3, 33.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,33,Chelsea,['0575832b-4813-46c2-a637-5750bd409bfa'],8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.282,9,Clearance,True
,,,,,,,,,,,,,,,,,,,,,,,0.990407,,,,,,,,,,,,,,,,,,,,,ca2b979b-b87f-4786-9dda-2a1f3faad1d0,13,,,"[113.7, 11.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,18105.0,Adrian Mutu,24.0,Left Center Forward,2,33,Chelsea,"['508a39d6-6144-4832-b658-f8c36c0fb90c', 'b3569389-b161-4b1e-af18-3e88f5d12500', 'd40db3f2-9d14-461e-9e92-4aac0f501415']",12,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:12.429,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,d40db3f2-9d14-461e-9e92-4aac0f501415,14,,,"[9.5, 71.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,33,Chelsea,['ca2b979b-b87f-4786-9dda-2a1f3faad1d0'],12,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.493,2,Ball Recovery,True
,,,,,,,"[4.4, 70.6]",,,,,,,,,,,,,,,,0.856195,,,,,,,,,,,,,,,,,,,,,b3569389-b161-4b1e-af18-3e88f5d12500,15,,,"[9.5, 71.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,33,Chelsea,"['508a39d6-6144-4832-b658-f8c36c0fb90c', 'ca2b979b-b87f-4786-9dda-2a1f3faad1d0', 'd40db3f2-9d14-461e-9e92-4aac0f501415']",12,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.493,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,2.916534,,,,,,,,,,,,,,,,,,,,,508a39d6-6144-4832-b658-f8c36c0fb90c,16,,,"[4.4, 70.6]",0,,,,,0.030342123,,40.0,Right Foot,,,,"[67.0, 72.5]",,3.0,High Pass,,62.628826,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,33,Chelsea,"['09cce9fd-b90c-4006-9f88-c13a2b90ca73', 'ca2b979b-b87f-4786-9dda-2a1f3faad1d0']",13,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.350,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,1.143029,,,,,,,,,,,,,,,,,,,,,09cce9fd-b90c-4006-9f88-c13a2b90ca73,17,,,"[53.1, 7.6]",0,,,,,-0.096193425,,38.0,Left Foot,,,,"[64.5, 6.5]",,2.0,Low Pass,,11.452948,,,40258.0,Wayne Bridge,,,,,,,66.0,Recovery,1,9,From Kick Off,40123.0,Robert Huth,5.0,Left Center Back,2,33,Chelsea,"['24a4ff64-52f8-4eee-b52c-2f8ecfd9fbe2', '508a39d6-6144-4832-b658-f8c36c0fb90c']",16,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:16.266,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24a4ff64-52f8-4eee-b52c-2f8ecfd9fbe2,18,,,"[64.5, 6.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40258.0,Wayne Bridge,6.0,Left Back,2,33,Chelsea,['09cce9fd-b90c-4006-9f88-c13a2b90ca73'],17,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:17.409,42,Ball Receipt*,
,,,,,,,"[64.5, 6.5]",,,,,,,,,,,,,,,,0.136606,,,,,,,,,,,,,,,,,,,,,592e138b-4ded-4ff1-9579-069638210ed1,19,,,"[64.5, 6.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40258.0,Wayne Bridge,6.0,Left Back,2,33,Chelsea,"['24a4ff64-52f8-4eee-b52c-2f8ecfd9fbe2', '3118a468-916f-4de2-96e4-29a6b5da8a26']",17,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:17.409,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.260372,,,,,,,,,,,,,,,,,,,,,3118a468-916f-4de2-96e4-29a6b5da8a26,20,,,"[64.5, 6.5]",0,,,,,1.6495802,,38.0,Left Foot,,,,"[63.3, 21.7]",,1.0,Ground Pass,,15.247294,,,40261.0,"Gérémi Sorele N""Djitap Fotso",,,,,,,,,1,9,From Kick Off,40258.0,Wayne Bridge,6.0,Left Back,2,33,Chelsea,['827c3ad2-635d-4732-a9dc-0ed1579006b8'],17,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:17.546,30,Pass,
