ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,half_start_late_video_start,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,1.513321,,,,,,,,,,,,,,,,,,,b69aacc0-2415-44fa-a53c-c42689e108d6,11,,,"[55.9, 40.9]",0,,,,,-1.7975951,,40.0,Right Foot,,"[48.7, 9.7]",1.0,Ground Pass,,32.019993,,,,40298.0,Jamie Clapham,,,,,,,,1,9,From Kick Off,40290.0,Robbie Savage,10.0,Center Defensive Midfield,2,54,Birmingham City,['4faacde4-54ea-46eb-88fe-f2dec981f30e'],5,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:05.346,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4faacde4-54ea-46eb-88fe-f2dec981f30e,12,,,"[48.7, 9.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40298.0,Jamie Clapham,6.0,Left Back,2,54,Birmingham City,['b69aacc0-2415-44fa-a53c-c42689e108d6'],6,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:06.860,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,2.353829,,,,,,,,,,,,,,,,,,,a446f665-eb5e-46c6-8892-ab92cece259c,13,,,"[49.0, 9.7]",0,,,,,2.547843,,38.0,Left Foot,,"[37.0, 17.8]",1.0,Ground Pass,,14.477914,,,,40300.0,Matthew Upson,,,,,,,,1,9,From Kick Off,40298.0,Jamie Clapham,6.0,Left Back,2,54,Birmingham City,['550c56f4-fcd0-4d13-8f30-7a44eebcd48c'],6,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:06.860,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550c56f4-fcd0-4d13-8f30-7a44eebcd48c,14,,,"[37.0, 17.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40300.0,Matthew Upson,5.0,Left Center Back,2,54,Birmingham City,['a446f665-eb5e-46c6-8892-ab92cece259c'],9,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:09.214,42,Ball Receipt*,
,,,,"[37.0, 17.7]",,,,,,,,,,,,,,,,0.049111,,,,,,,,,,,,,,,,,,,7e0f4124-dd24-46f7-b424-9b50c4065457,15,,,"[37.0, 17.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40300.0,Matthew Upson,5.0,Left Center Back,2,54,Birmingham City,"['550c56f4-fcd0-4d13-8f30-7a44eebcd48c', '71ef68ef-e57e-4ffd-bf67-b85d37c8a144']",9,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:09.214,43,Carry,
,,,,,,,,,,,,,,,,,,,,2.533277,,,,,,,,,,,,,,,,,,,71ef68ef-e57e-4ffd-bf67-b85d37c8a144,16,,,"[37.0, 17.7]",0,,,,,-0.039155234,,38.0,Left Foot,,"[85.5, 15.8]",3.0,High Pass,,48.5372,,9.0,Incomplete,40295.0,Stan Lazaridis,,,,,,,,1,9,From Kick Off,40300.0,Matthew Upson,5.0,Left Center Back,2,54,Birmingham City,"['5c261ca5-b0c8-41b3-b058-402453e8208b', '6f30ca00-2318-4bd5-bdbc-0da11ef87556']",9,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:09.263,30,Pass,
9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6f30ca00-2318-4bd5-bdbc-0da11ef87556,17,,,"[87.9, 13.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40295.0,Stan Lazaridis,16.0,Left Midfield,2,54,Birmingham City,['71ef68ef-e57e-4ffd-bf67-b85d37c8a144'],11,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:11.796,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,1.323445,,,,,,,,,,,,,,,,,,,5c261ca5-b0c8-41b3-b058-402453e8208b,18,,,"[34.6, 64.3]",0,,,,,0.40778473,,37.0,Head,,"[47.1, 69.7]",3.0,High Pass,,13.616534,,,,15042.0,Dennis Bergkamp,,,,,,66.0,Recovery,1,6,From Counter,38412.0,Kolo Habib Touré,3.0,Right Center Back,3,1,Arsenal,"['71ef68ef-e57e-4ffd-bf67-b85d37c8a144', 'ff3e661b-2d49-4f48-9c8f-a67b9a8235cd']",11,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.796,30,Pass,
,,,,,,,,,,,True,,,,,,,,,0.333184,,,,,,,,,,,,,,,,,,,8f1d0add-f637-41d7-b753-b36e012e2177,19,,,"[71.8, 10.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,40298.0,Jamie Clapham,6.0,Left Back,3,1,Arsenal,"['2901dfc7-d0ed-482a-9541-a63e6d1b4a63', '805c0a9d-cc7d-4c6a-ad6d-25fcaaeeb342', 'ff3e661b-2d49-4f48-9c8f-a67b9a8235cd']",13,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:13.023,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff3e661b-2d49-4f48-9c8f-a67b9a8235cd,20,,,"[47.1, 69.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,15042.0,Dennis Bergkamp,12.0,Right Midfield,3,1,Arsenal,"['5c261ca5-b0c8-41b3-b058-402453e8208b', '8f1d0add-f637-41d7-b753-b36e012e2177']",13,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.119,42,Ball Receipt*,True
,,,,"[47.1, 69.7]",,,,,,,,,,,,,,,,0.040000003,,,,,,,,,,,,,,,,,,,2901dfc7-d0ed-482a-9541-a63e6d1b4a63,21,,,"[47.1, 69.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,15042.0,Dennis Bergkamp,12.0,Right Midfield,3,1,Arsenal,"['805c0a9d-cc7d-4c6a-ad6d-25fcaaeeb342', '8f1d0add-f637-41d7-b753-b36e012e2177', 'ff3e661b-2d49-4f48-9c8f-a67b9a8235cd']",13,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.119,43,Carry,True
,,,,,,,,,,,,,,,,,,,,0.92758,,,,,,,,,,,,,,,,,,,805c0a9d-cc7d-4c6a-ad6d-25fcaaeeb342,22,,,"[47.1, 69.7]",0,,,,,-0.59619915,,40.0,Right Foot,,"[55.5, 64.0]",3.0,High Pass,,10.151355,,,,23816.0,José Antonio Reyes Calderón,,,,,,,,1,6,From Counter,15042.0,Dennis Bergkamp,12.0,Right Midfield,3,1,Arsenal,"['23810011-9d62-42c3-acfd-961e5d70487f', '8f1d0add-f637-41d7-b753-b36e012e2177']",13,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.159,30,Pass,True
