ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99d3ae30-35b6-4d2f-b69b-758f6b5e91ec,11,,,"[46.6, 9.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40405.0,Colin Cooper,6.0,Left Back,2,47,Middlesbrough,['9148dfb6-46b6-4984-8313-491e6d812db1'],4,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:04.653,42,Ball Receipt*,
,,,,"[46.8, 11.4]",,,,,,,,,,,,,,,,0.574172,,,,,,,,,,,,,,,,,,,,,01fd5b1e-549a-433b-89bd-b73fee612f71,12,,,"[46.6, 9.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40405.0,Colin Cooper,6.0,Left Back,2,47,Middlesbrough,"['76e8a2a2-d58f-44b7-99cf-90c1b0a54194', '99d3ae30-35b6-4d2f-b69b-758f6b5e91ec']",4,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:04.653,43,Carry,
,,,,,,,,,,,,,,,,,,,,1.136257,,,,,,,,,,,,,,,,,,,,,76e8a2a2-d58f-44b7-99cf-90c1b0a54194,13,,,"[46.8, 11.4]",0,,,,,-1.0153025,,40.0,Right Foot,,,"[52.2, 2.7]",,1.0,Ground Pass,,10.239629,,,,,,40404.0,Alan Wright,,,,,,,,,1,9,From Kick Off,40405.0,Colin Cooper,6.0,Left Back,2,47,Middlesbrough,['2f1ce6bc-5ab4-4621-8c19-5d91c0136a84'],5,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:05.227,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f1ce6bc-5ab4-4621-8c19-5d91c0136a84,14,,,"[52.2, 2.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40404.0,Alan Wright,16.0,Left Midfield,2,47,Middlesbrough,['76e8a2a2-d58f-44b7-99cf-90c1b0a54194'],6,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:06.364,42,Ball Receipt*,
,,,,"[49.2, 2.7]",,,,,,,,,,,,,,,,1.297517,,,,,,,,,,,,,,,,,,,,,2656f73d-b670-4939-8739-b2e185164249,15,,,"[52.2, 2.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40404.0,Alan Wright,16.0,Left Midfield,2,47,Middlesbrough,"['2f1ce6bc-5ab4-4621-8c19-5d91c0136a84', 'a3ef347e-ef4d-4956-88aa-922731f9d2a1']",6,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:06.364,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.859746,,,,,,,,,,,,,,,,,,,,,a3ef347e-ef4d-4956-88aa-922731f9d2a1,16,,,"[49.2, 2.7]",0,,,,,1.7018242,,40.0,Right Foot,,,"[47.5, 15.6]",,1.0,Ground Pass,,13.011534,,,,,,40329.0,Dorival Guidoni Júnior,,,,,,,,,1,9,From Kick Off,40404.0,Alan Wright,16.0,Left Midfield,2,47,Middlesbrough,['a90219b0-8905-4e27-831a-210cecadbf61'],7,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:07.661,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a90219b0-8905-4e27-831a-210cecadbf61,17,,,"[47.5, 15.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40329.0,Dorival Guidoni Júnior,11.0,Left Defensive Midfield,2,47,Middlesbrough,['a3ef347e-ef4d-4956-88aa-922731f9d2a1'],8,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:08.521,42,Ball Receipt*,
,,,,"[48.3, 16.3]",,,,,,,,,,,,,,,,1.011652,,,,,,,,,,,,,,,,,,,,,7b76482b-9c68-486b-9964-a7b761a69cc4,18,,,"[47.5, 15.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40329.0,Dorival Guidoni Júnior,11.0,Left Defensive Midfield,2,47,Middlesbrough,"['1275527e-e1d6-488e-881c-da877bcdf000', '12a62ead-f089-49e9-8098-898d6eac01c4', 'a90219b0-8905-4e27-831a-210cecadbf61']",8,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:08.521,43,Carry,True
,,,,,,,,,,,,,,,,,,,,0.423754,,,,,,,,,,,,,,,,,,,,,1275527e-e1d6-488e-881c-da877bcdf000,19,,,"[67.6, 63.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,11.0,Left Defensive Midfield,2,47,Middlesbrough,"['12a62ead-f089-49e9-8098-898d6eac01c4', '7b76482b-9c68-486b-9964-a7b761a69cc4']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.177,17,Pressure,
,,,,,,,,,,,,,,,,,,,,2.048124,,,,,,,,,,,,,,,,,,,,,12a62ead-f089-49e9-8098-898d6eac01c4,20,,,"[48.3, 16.3]",0,,,,,2.6069984,,40.0,Right Foot,,,"[25.5, 29.8]",,1.0,Ground Pass,,26.49698,,,,,,40330.0,Chris Riggott,,,,,,,,,1,9,From Kick Off,40329.0,Dorival Guidoni Júnior,11.0,Left Defensive Midfield,2,47,Middlesbrough,"['1275527e-e1d6-488e-881c-da877bcdf000', 'b9440cd9-13ca-41b2-b70b-81aefb80e4c9']",9,,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:09.533,30,Pass,True
