50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.787349,,,,,,,,,,,,,,,,,,,,1caab34a-ff29-4f74-b769-2b788c7134c0,11,,,"[55.6, 43.3]",0,,,,,1.8466022,,40.0,Right Foot,,,"[46.6, 75.1]",,1.0,Ground Pass,,33.049053,,,,,,15272.0,Markus Babbel,,,,,,,,,1,9,From Kick Off,15095.0,Tugay Kerimoğlu,13.0,Right Center Midfield,2,98,Blackburn Rovers,['7d27a7ef-a5e2-4f63-82a0-635021610460'],2,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:02.688,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d27a7ef-a5e2-4f63-82a0-635021610460,12,,,"[46.6, 75.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15272.0,Markus Babbel,2.0,Right Back,2,98,Blackburn Rovers,['1caab34a-ff29-4f74-b769-2b788c7134c0'],4,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:04.475,42,Ball Receipt*,
,,,,,,,,,,"[46.8, 76.4]",,,,,,,,,,,,,,,,,1.48911,,,,,,,,,,,,,,,,,,,,24ff1292-ed8d-4280-a103-752f71cfdf09,13,,,"[46.6, 75.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15272.0,Markus Babbel,2.0,Right Back,2,98,Blackburn Rovers,"['57498d46-d7c0-4785-ae4e-cab455614f42', '7d27a7ef-a5e2-4f63-82a0-635021610460']",4,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:04.475,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.276724,,,,,,,,,,,,,,,,,,,,57498d46-d7c0-4785-ae4e-cab455614f42,14,,,"[46.8, 76.4]",0,,,,,0.00922483,,40.0,Right Foot,,,"[101.0, 76.9]",,3.0,High Pass,,54.202305,,,9.0,Incomplete,,9003.0,Paul Gallagher,,,,,,,,,1,9,From Kick Off,15272.0,Markus Babbel,2.0,Right Back,2,98,Blackburn Rovers,"['389dd26c-76ba-43e6-af6d-917e0d8f61d4', 'ee634173-3ff8-4513-b978-8ab8a1edef50']",5,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:05.964,30,Pass,
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389dd26c-76ba-43e6-af6d-917e0d8f61d4,15,,,"[99.2, 76.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,9003.0,Paul Gallagher,22.0,Right Center Forward,2,98,Blackburn Rovers,['57498d46-d7c0-4785-ae4e-cab455614f42'],8,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:08.241,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3197,,,,,,,,,,,,,,,,,,,,ee634173-3ff8-4513-b978-8ab8a1edef50,16,,,"[19.1, 3.2]",0,,,,,1.0927093,,37.0,Head,,,"[24.8, 14.2]",,3.0,High Pass,,12.389108,,,9.0,Incomplete,,,,,,,,,,66.0,Recovery,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,98,Blackburn Rovers,"['57498d46-d7c0-4785-ae4e-cab455614f42', '8ac00965-363f-49ff-a285-37ba4d4e6fbe']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.241,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542684,,,,,,,,,,,,,,,,,,,,8ac00965-363f-49ff-a285-37ba4d4e6fbe,17,,,"[95.3, 65.9]",0,,,,,-1.2012099,,37.0,Head,,,"[99.6, 54.8]",,2.0,Low Pass,,11.903781,,,9.0,Incomplete,,24766.0,Dwight Yorke,,,,,,,66.0,Recovery,1,9,From Kick Off,40357.0,Brett Emerton,12.0,Right Midfield,2,98,Blackburn Rovers,"['356f1c81-82df-4898-86bc-eb188e7228ff', 'c9bcf38c-5076-4551-b57e-5d20498bdb18', 'ee634173-3ff8-4513-b978-8ab8a1edef50']",10,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:10.561,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435537,,,,,,,,,,,,,,,,,,,,f2469ec6-7250-49b1-a092-8290c95b3f15,18,,,"[18.9, 28.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26194.0,Pascal Cygan,5.0,Left Center Back,2,98,Blackburn Rovers,,10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.882,17,Pressure,
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356f1c81-82df-4898-86bc-eb188e7228ff,19,,,"[99.6, 54.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24766.0,Dwight Yorke,24.0,Left Center Forward,2,98,Blackburn Rovers,['8ac00965-363f-49ff-a285-37ba4d4e6fbe'],12,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:12.103,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.585766,,,,,,,,,,,,,,,,,,,,c9bcf38c-5076-4551-b57e-5d20498bdb18,20,,,"[20.5, 25.3]",0,,,,,-1.6902252,,40.0,Right Foot,,,"[20.2, 22.8]",,3.0,High Pass,,2.5179358,,,9.0,Incomplete,,,,,,,,,,66.0,Recovery,1,9,From Kick Off,15515.0,Patrick Vieira,13.0,Right Center Midfield,2,98,Blackburn Rovers,"['15e9eb70-d652-4b23-88e3-6f1c55b6a028', '8ac00965-363f-49ff-a285-37ba4d4e6fbe']",12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.103,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.010971,,,,,,,,,,,,,,,,,,,,15e9eb70-d652-4b23-88e3-6f1c55b6a028,21,,,"[99.9, 57.3]",0,,,,,3.0204496,,37.0,Head,,,"[88.4, 58.7]",,3.0,High Pass,,11.584904,,,,,,40352.0,Barry Ferguson,,,,,,,66.0,Recovery,1,9,From Kick Off,24766.0,Dwight Yorke,24.0,Left Center Forward,2,98,Blackburn Rovers,"['5119b313-5004-4ff9-ae54-729e57d87626', 'c9bcf38c-5076-4551-b57e-5d20498bdb18']",13,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:13.689,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119b313-5004-4ff9-ae54-729e57d87626,22,,,"[88.4, 58.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40352.0,Barry Ferguson,15.0,Left Center Midfield,2,98,Blackburn Rovers,['15e9eb70-d652-4b23-88e3-6f1c55b6a028'],14,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:14.700,42,Ball Receipt*,
,,,,,,,,,,"[87.9, 52.9]",,,,,,,,,,,,,,,,,1.24969,,,,,,,,,,,,,,,,,,,,59611ec2-f2af-40e9-affd-949c1eb883b5,23,,,"[88.4, 58.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40352.0,Barry Ferguson,15.0,Left Center Midfield,2,98,Blackburn Rovers,"['5119b313-5004-4ff9-ae54-729e57d87626', 'f2ac08ab-cf0f-46e4-bca2-fbc28b7143cc']",14,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:14.700,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.226701,,,,,,,,,,,,,,,,,,,,f2ac08ab-cf0f-46e4-bca2-fbc28b7143cc,24,,,"[87.9, 52.9]",0,,,,,-1.1238899,,38.0,Left Foot,,,"[100.6, 26.4]",,3.0,High Pass,,29.386051,,,,,,40354.0,Lucas Neill,,,,,,,,,1,9,From Kick Off,40352.0,Barry Ferguson,15.0,Left Center Midfield,2,98,Blackburn Rovers,['1d2161d1-ee8b-4e9f-ab41-2ddcfbc0a298'],15,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:15.950,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d2161d1-ee8b-4e9f-ab41-2ddcfbc0a298,25,,,"[100.6, 26.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40354.0,Lucas Neill,16.0,Left Midfield,2,98,Blackburn Rovers,['f2ac08ab-cf0f-46e4-bca2-fbc28b7143cc'],17,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:17.176,42,Ball Receipt*,
