ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.991428,,,,,,,,,,,,,,,,,,,4f64ab2d-fdcd-4921-9f97-1541cff69321,11,,,"[42.6, 64.5]",0,,,,-1.9074712,,40.0,Right Foot,,,,"[34.2, 40.5]",,1.0,Ground Pass,,25.427544,,,,38412.0,Kolo Habib Touré,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['0b1bab68-09ba-4941-96c3-3b536b859919'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.527,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0b1bab68-09ba-4941-96c3-3b536b859919,12,,,"[34.2, 40.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['4f64ab2d-fdcd-4921-9f97-1541cff69321'],7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.518,42,Ball Receipt*,
,,,,,"[34.3, 38.8]",,,,,,,,,,,,,,,,1.470947,,,,,,,,,,,,,,,,,,,6f3b4c6f-b378-4a42-bf38-23be6fa70a2a,13,,,"[34.2, 40.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['0b1bab68-09ba-4941-96c3-3b536b859919', '2b72d91f-3496-4cec-b0b4-be60ab903f71']",7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.518,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.741078,,,,,,,,,,,,,,,,,,,2b72d91f-3496-4cec-b0b4-be60ab903f71,14,,,"[34.3, 38.8]",0,,,,-1.3938941,,40.0,Right Foot,,,,"[40.7, 3.0]",,1.0,Ground Pass,,36.36757,,,,12529.0,Ashley Cole,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['e9581840-daf5-44d5-8238-60948edc692c'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.989,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9581840-daf5-44d5-8238-60948edc692c,15,,,"[40.7, 3.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['2b72d91f-3496-4cec-b0b4-be60ab903f71'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.730,42,Ball Receipt*,
,,,,,"[40.7, 3.8]",,,,,,,,,,,,,,,,1.047276,,,,,,,,,,,,,,,,,,,21a2a361-c3a4-47ee-8b1f-c7d081c6ebb0,16,,,"[40.7, 3.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['7b25a588-5395-46bd-acf9-b1a1ceb2b782', 'e9581840-daf5-44d5-8238-60948edc692c']",10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.730,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.900041,,,,,,,,,,,,,,,,,,,7b25a588-5395-46bd-acf9-b1a1ceb2b782,17,,,"[40.7, 3.8]",0,,,,-0.18742912,,38.0,Left Foot,,,,"[52.3, 1.6]",,1.0,Ground Pass,,11.806778,,,,19312.0,Robert Pirès ,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['23a0af6f-e496-493f-91d1-2c1a82203a89'],11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.777,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23a0af6f-e496-493f-91d1-2c1a82203a89,18,,,"[52.3, 1.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['7b25a588-5395-46bd-acf9-b1a1ceb2b782'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.677,42,Ball Receipt*,
,,,,,"[52.3, 1.6]",,,,,,,,,,,,,,,,0.175869,,,,,,,,,,,,,,,,,,,496f316b-90f6-4a23-a8b1-86a82671e074,19,,,"[52.3, 1.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['23a0af6f-e496-493f-91d1-2c1a82203a89', '5f71e8c8-406c-4f41-adb6-720c7b17c4ea']",12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.677,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.605106,,,,,,,,,,,,,,,,,,,5f71e8c8-406c-4f41-adb6-720c7b17c4ea,20,,,"[52.3, 1.6]",0,,,,3.018136,,40.0,Right Foot,,,,"[38.6, 3.3]",,1.0,Ground Pass,,13.805072,,,,12529.0,Ashley Cole,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['f2dd9b6c-5460-4087-9786-060b35957563'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.853,30,Pass,
