ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_off_target,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4df39e65-1c6b-48a4-8f21-78e7a6783d56,11,,,"[87.4, 24.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40418.0,Carlton Cole Okirie,22.0,Right Center Forward,2,75,Charlton Athletic,['4da5744a-c613-4760-b485-16a2eb53e7c4'],10,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:10.281,42,Ball Receipt*,
,,,,,,,,,,,,,,,10.0,Aerial Lost,0.0,,,,,,,,,,,,,,,,,0f2e769e-60e9-4346-a94a-f60dbebf30fb,12,,,"[33.4, 54.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,75,Charlton Athletic,['971fa3b3-c8b6-4601-a7db-2d2ad0af57b6'],10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.281,4,Duel,True
,,,,,,,,,,,,,,,,,0.928493,,,,,,,,,,,,,,,,,971fa3b3-c8b6-4601-a7db-2d2ad0af57b6,13,,,"[86.7, 25.2]",0,,,,True,0.034950797,,,,,,"[101.0, 25.7]",,2.0,Low Pass,,14.308739,,,,,,40375.0,Paolo Di Canio,,,,,,,,1,9,From Kick Off,40418.0,Carlton Cole Okirie,22.0,Right Center Forward,2,75,Charlton Athletic,"['0f2e769e-60e9-4346-a94a-f60dbebf30fb', 'acdd052e-9c86-417a-b129-5c01ac903795']",10,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:10.281,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acdd052e-9c86-417a-b129-5c01ac903795,14,,,"[101.0, 25.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,24.0,Left Center Forward,2,75,Charlton Athletic,['971fa3b3-c8b6-4601-a7db-2d2ad0af57b6'],11,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:11.209,42,Ball Receipt*,
,,,"[101.0, 25.7]",,,,,,,,,,,,,,1.047641,,,,,,,,,,,,,,,,,6fdb69c2-74bd-41c4-881d-ea9569751cfa,15,,,"[101.0, 25.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,24.0,Left Center Forward,2,75,Charlton Athletic,"['a1b55702-12de-45db-9d94-1e9974a85531', 'acdd052e-9c86-417a-b129-5c01ac903795']",11,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:11.209,43,Carry,
,,,,,,,,,,,,,,,,,1.377443,,,,,,,,,,,,,,,,,a1b55702-12de-45db-9d94-1e9974a85531,16,,,"[101.0, 25.7]",0,,,,,-1.4536875,,38.0,Left Foot,,,"[103.0, 8.7]",,1.0,Ground Pass,,17.117243,,,,,,40376.0,Graham Stuart,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,24.0,Left Center Forward,2,75,Charlton Athletic,['6bd4e409-550b-4dbc-a72e-71dfd1185559'],12,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:12.257,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6bd4e409-550b-4dbc-a72e-71dfd1185559,17,,,"[103.0, 8.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,75,Charlton Athletic,['a1b55702-12de-45db-9d94-1e9974a85531'],13,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:13.634,42,Ball Receipt*,
,,,"[103.0, 8.7]",,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,49e5b480-a6af-4da5-bb87-a371bb577f12,18,,,"[103.0, 8.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,75,Charlton Athletic,"['1770fc6b-54df-4299-a192-2f30cd79d379', '6bd4e409-550b-4dbc-a72e-71dfd1185559']",13,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:13.634,43,Carry,
,,,,,,,,,,,,,,,,,0.518055,,,,,,,,,,,,,,,,,1770fc6b-54df-4299-a192-2f30cd79d379,19,,,"[103.0, 8.7]",0,,,,,1.0971988,,40.0,Right Foot,,,"[107.1, 16.7]",,1.0,Ground Pass,,8.989438,,,,,,40375.0,Paolo Di Canio,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,75,Charlton Athletic,['82111628-c501-4d0e-83dd-f5cf03d1715d'],13,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:13.674,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82111628-c501-4d0e-83dd-f5cf03d1715d,20,,,"[107.1, 16.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,24.0,Left Center Forward,2,75,Charlton Athletic,['1770fc6b-54df-4299-a192-2f30cd79d379'],14,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:14.192,42,Ball Receipt*,
