ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249da8ad-11de-42dd-bcfd-6853a8d3fe0f,11,,,"[40.0, 12.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40239.0,Jordan Stewart,6.0,Left Back,2,22,Leicester City,['1c747956-8446-4f89-aefd-30ad38fbe671'],5,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:05.011,42,Ball Receipt*,
,,,,,"[35.8, 13.4]",,,,,,,,,,,,,,,,1.147209,,,,,,,,,,,,,,,,,,,,,8f069fe1-1279-4b5a-9c68-bf7a11b09f52,12,,,"[40.0, 12.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40239.0,Jordan Stewart,6.0,Left Back,2,22,Leicester City,"['249da8ad-11de-42dd-bcfd-6853a8d3fe0f', '655fc22d-51d0-482c-a793-9d00ec243282']",5,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:05.011,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.254016,,,,,,,,,,,,,,,,,,,,,655fc22d-51d0-482c-a793-9d00ec243282,13,,,"[35.8, 13.4]",0,,,,,2.0576956,,38.0,Left Foot,,,"[27.7, 28.7]",,1.0,Ground Pass,,17.311846,,,,,,40241.0,Matt Heath,,,,,,,,,1,9,From Kick Off,40239.0,Jordan Stewart,6.0,Left Back,2,22,Leicester City,['404529bc-78c9-4d44-ad8f-25a3b1e19f55'],6,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:06.158,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404529bc-78c9-4d44-ad8f-25a3b1e19f55,14,,,"[27.7, 28.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40241.0,Matt Heath,3.0,Right Center Back,2,22,Leicester City,['655fc22d-51d0-482c-a793-9d00ec243282'],7,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:07.412,42,Ball Receipt*,
,,,,,"[27.7, 28.9]",,,,,,,,,,,,,,,,1.462002,,,,,,,,,,,,,,,,,,,,,a05f8db4-e023-4c41-8e93-4774687e370c,15,,,"[27.7, 28.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40241.0,Matt Heath,3.0,Right Center Back,2,22,Leicester City,"['404529bc-78c9-4d44-ad8f-25a3b1e19f55', '7ee8be55-13d1-4eb8-899f-341c83d251eb']",7,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:07.412,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.929849,,,,,,,,,,,,,,,,,,,,,7ee8be55-13d1-4eb8-899f-341c83d251eb,16,,,"[27.7, 28.9]",0,,,,,2.7178352,,38.0,Left Foot,,,"[9.3, 37.2]",,1.0,Ground Pass,,20.18539,,,,,,40236.0,Ian Walker,,,,,,,,,1,9,From Kick Off,40241.0,Matt Heath,3.0,Right Center Back,2,22,Leicester City,['137c75ab-919c-4fd4-903e-66f7a54aaa5a'],8,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:08.874,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137c75ab-919c-4fd4-903e-66f7a54aaa5a,17,,,"[9.3, 37.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40236.0,Ian Walker,1.0,Goalkeeper,2,22,Leicester City,['7ee8be55-13d1-4eb8-899f-341c83d251eb'],10,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:10.804,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,3.440696,,,,,,,,,,,,,,,,,,,,,78446118-b5b4-40ef-b3f0-75840e5a54c4,18,,,"[9.3, 37.2]",0,,,,,0.20846522,,40.0,Right Foot,,,"[76.9, 51.5]",,3.0,High Pass,,69.09595,,,9.0,Incomplete,,,,,,,,,,,,1,9,From Kick Off,40236.0,Ian Walker,1.0,Goalkeeper,2,22,Leicester City,['779aeaf6-7006-43b6-9bac-96bd1bdbcce0'],10,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:10.804,30,Pass,
,,,,,,,37.0,Head,True,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,779aeaf6-7006-43b6-9bac-96bd1bdbcce0,19,,,"[43.2, 28.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,22,Leicester City,['78446118-b5b4-40ef-b3f0-75840e5a54c4'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.245,9,Clearance,True
,,,,,,,,,,,,,,,,,,,,,0.569354,,,,,,,,,,,,,,,,,,,,,a5d051c9-dc26-4e66-8c7f-882a549ecde0,20,,,"[56.7, 44.8]",0,,,,,-0.7207402,,40.0,Right Foot,,,"[64.1, 38.3]",,1.0,Ground Pass,,9.849365,,,,,,40238.0,Lilian Nalis,,,,,,,66.0,Recovery,1,9,From Kick Off,15049.0,Billy McKinlay,9.0,Right Defensive Midfield,2,22,Leicester City,['8eff48cf-2fe5-4968-9321-e533bf9c4881'],15,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:15.424,30,Pass,
