50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,1.752257,,,,,,,,,,,,,,,,,,,2a7afafb-3bdc-4bce-8cf7-03e736154ff0,11,,,"[38.3, 60.5]",0,,,,,-1.7745173,,40.0,Right Foot,,,,"[31.4, 27.1]",,1.0,Ground Pass,,34.105278,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['340816e2-7c9e-496b-9cba-3aeae6ff783c'],6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.991,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340816e2-7c9e-496b-9cba-3aeae6ff783c,12,,,"[31.4, 27.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['2a7afafb-3bdc-4bce-8cf7-03e736154ff0'],8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.743,42,Ball Receipt*,
,,,,,,"[31.0, 25.9]",,,,,,,,,,,,,,,1.827237,,,,,,,,,,,,,,,,,,,0cd6d9d8-a791-4893-b318-bf774af4c720,13,,,"[31.4, 27.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['340816e2-7c9e-496b-9cba-3aeae6ff783c', '3813da72-bc84-4e0b-80cd-657ddba414ef']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.743,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.273291,,,,,,,,,,,,,,,,,,,3813da72-bc84-4e0b-80cd-657ddba414ef,14,,,"[31.0, 25.9]",0,,,,,-1.3041526,,40.0,Right Foot,,,,"[36.9, 4.3]",,1.0,Ground Pass,,22.391293,,,,,20302.0,Gaël Clichy,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['30814520-cd1d-4f03-b482-f5363564f21f'],10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.570,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30814520-cd1d-4f03-b482-f5363564f21f,15,,,"[36.9, 4.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20302.0,Gaël Clichy,6.0,Left Back,2,1,Arsenal,['3813da72-bc84-4e0b-80cd-657ddba414ef'],11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.843,42,Ball Receipt*,
,,,,,,"[34.5, 4.7]",,,,,,,,,,,,,,,0.80844,,,,,,,,,,,,,,,,,,,aa6233c7-cc73-4807-a90c-220da190f26a,16,,,"[36.9, 4.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20302.0,Gaël Clichy,6.0,Left Back,2,1,Arsenal,"['04ec28c7-6052-43c1-ba42-7052dd8f4810', '30814520-cd1d-4f03-b482-f5363564f21f']",11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.843,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.205136,,,,,,,,,,,,,,,,,,,04ec28c7-6052-43c1-ba42-7052dd8f4810,17,,,"[34.5, 4.7]",0,,,,,1.9756881,,40.0,Right Foot,,,,"[27.9, 20.1]",,1.0,Ground Pass,,16.754702,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,,1,9,From Kick Off,20302.0,Gaël Clichy,6.0,Left Back,2,1,Arsenal,['a026751b-351b-408f-916c-fbd2448ef56f'],12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.652,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a026751b-351b-408f-916c-fbd2448ef56f,18,,,"[27.9, 20.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['04ec28c7-6052-43c1-ba42-7052dd8f4810'],13,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.857,42,Ball Receipt*,
,,,,,,"[39.5, 24.8]",,,,,,,,,,,,,,,3.535096,,,,,,,,,,,,,,,,,,,f9cd9413-fccf-4d8d-8648-3bc47f2b0b11,19,,,"[27.9, 20.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['73644f25-8021-4fbf-9937-ae36f617fa94', 'a026751b-351b-408f-916c-fbd2448ef56f']",13,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.857,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.650241,,,,,,,,,,,,,,,,,,,73644f25-8021-4fbf-9937-ae36f617fa94,20,,,"[39.5, 24.8]",0,,,,,-0.05837516,,40.0,Right Foot,,,,"[70.3, 23.0]",,3.0,High Pass,,30.852552,,,,,15516.0,Thierry Henry,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['727b38ed-4747-474f-bec4-ae58d4d9d20d'],17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.392,30,Pass,
