50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,2.021881,,,,,,,,,,,,,,,,,,,,3c0db551-4115-4b57-8006-673e825e0f32,11,,,,"[44.0, 33.2]",0,,,,-1.5512866,,40.0,Right Foot,,,"[44.4, 12.7]",,1.0,Ground Pass,,20.503902,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,['059e4da2-cdbb-4b78-b5be-f775dec69903'],2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.497,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,059e4da2-cdbb-4b78-b5be-f775dec69903,12,,,,"[44.4, 12.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['3c0db551-4115-4b57-8006-673e825e0f32'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.519,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,0.888087,,,,,,,,,,,,,,,,,,,,f09a1a24-ff4d-4ebc-b49c-070f6dc990c6,13,,,,"[44.2, 12.0]",0,,,,1.608212,,38.0,Left Foot,,,"[43.5, 30.7]",,1.0,Ground Pass,,18.713097,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['278c6ae7-c345-46fc-b482-32e4b9f3f9da'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.519,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278c6ae7-c345-46fc-b482-32e4b9f3f9da,14,,,,"[43.5, 30.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,['f09a1a24-ff4d-4ebc-b49c-070f6dc990c6'],5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.407,42,Ball Receipt*,
,,,,,,,"[43.5, 31.0]",,,,,,,,,,,,,,,1.403254,,,,,,,,,,,,,,,,,,,,5017cd7a-e9a1-439e-8e91-cf3d55f44949,15,,,,"[43.5, 30.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,"['278c6ae7-c345-46fc-b482-32e4b9f3f9da', '909ccbd7-33bd-4186-ac7f-e02f9f5bbb66']",5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.407,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,2.038755,,,,,,,,,,,,,,,,,,,,909ccbd7-33bd-4186-ac7f-e02f9f5bbb66,16,,,,"[43.5, 31.0]",0,,,,1.6091468,,40.0,Right Foot,,,"[41.9, 72.7]",,1.0,Ground Pass,,41.730682,,,,40222.0,Laureano Bisan-Etame Mayer,,True,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,['ecf5373a-7c1e-45e6-b8ce-7c2d182fef43'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.810,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecf5373a-7c1e-45e6-b8ce-7c2d182fef43,17,,,,"[41.9, 72.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['909ccbd7-33bd-4186-ac7f-e02f9f5bbb66'],8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.849,42,Ball Receipt*,
,,,,,,,"[41.4, 74.0]",,,,,,,,,,,,,,,0.978272,,,,,,,,,,,,,,,,,,,,8d13f80d-8f72-419d-8774-da0ddf29baa5,18,,,,"[41.9, 72.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['6c59a519-494d-4ec5-b9eb-1407becd8d4d', 'ecf5373a-7c1e-45e6-b8ce-7c2d182fef43']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.849,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,1.162295,,,,,,,,,,,,,,,,,,,,6c59a519-494d-4ec5-b9eb-1407becd8d4d,19,,,,"[41.4, 74.0]",0,,,,-1.1297579,,40.0,Right Foot,,,"[49.0, 57.9]",,1.0,Ground Pass,,17.803652,,,,24972.0,Ray Parlour,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['b42696d3-0743-4303-bad8-422bed03115f'],9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.827,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b42696d3-0743-4303-bad8-422bed03115f,20,,,,"[49.0, 57.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,13.0,Right Center Midfield,2,1,Arsenal,['6c59a519-494d-4ec5-b9eb-1407becd8d4d'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.990,42,Ball Receipt*,
