bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,1.394844,,,,,,,,,,,,,,,,,,,34373762-8408-4e56-bef9-f782e0e797d4,11,,,"[46.5, 43.2]",0,,,,,1.8208994,,40.0,Right Foot,,,"[38.3, 75.3]",,2.0,Low Pass,,33.130802,,,,,34388.0,Jamie Carragher,,,,,,,,1,9,From Kick Off,38522.0,Dietmar Hamann,9.0,Right Defensive Midfield,2,24,Liverpool,['1f4d3c52-eebc-40e3-b723-628c251cc4cb'],2,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:02.918,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f4d3c52-eebc-40e3-b723-628c251cc4cb,12,,,"[38.3, 75.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,34388.0,Jamie Carragher,2.0,Right Back,2,24,Liverpool,['34373762-8408-4e56-bef9-f782e0e797d4'],4,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:04.313,42,Ball Receipt*,
,,,,,,"[42.2, 72.7]",,,,,,,,,,,,,,,2.488678,,,,,,,,,,,,,,,,,,,7f49b095-2f30-4776-a855-ee30d57f4324,13,,,"[38.3, 75.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,34388.0,Jamie Carragher,2.0,Right Back,2,24,Liverpool,"['07c754e8-840c-4711-98f3-15c50c070e9c', '1f4d3c52-eebc-40e3-b723-628c251cc4cb']",4,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:04.313,43,Carry,
,,,,,,,,,,,,,,,,,,,,,2.532285,,,,,,,,,,,,,,,,,,,07c754e8-840c-4711-98f3-15c50c070e9c,14,,,"[42.2, 72.7]",0,,,,,-0.1779152,,40.0,Right Foot,,,"[96.7, 62.9]",,3.0,High Pass,,55.374092,,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,34388.0,Jamie Carragher,2.0,Right Back,2,24,Liverpool,['e2cfdb94-3598-4860-8f77-6e1c922c6769'],6,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:06.802,30,Pass,
,,,,,,,,,,,,,,,,,,,,,0.92505,,,,,,,,,,,,,,,,,,,e2cfdb94-3598-4860-8f77-6e1c922c6769,15,,,"[23.4, 17.2]",0,,,,,-0.41122654,,37.0,Head,,,"[36.7, 11.4]",,3.0,High Pass,,14.509652,,9.0,Incomplete,,15515.0,Patrick Vieira,,,,,,66.0,Recovery,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,24,Liverpool,"['07c754e8-840c-4711-98f3-15c50c070e9c', '961c92f0-ec65-4776-9cee-a085a96e7fe1', 'c7045b37-7767-4947-b734-aa630d22b357']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.334,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961c92f0-ec65-4776-9cee-a085a96e7fe1,16,,,"[36.7, 11.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,24,Liverpool,['e2cfdb94-3598-4860-8f77-6e1c922c6769'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.259,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,1.571259,,,,,,,,,,,,,,,,,,,c7045b37-7767-4947-b734-aa630d22b357,17,,,"[83.4, 68.7]",0,,,,,0.79891086,,37.0,Head,,,"[90.7, 76.2]",,3.0,High Pass,,10.466136,,9.0,Incomplete,,,,,,,,,66.0,Recovery,1,9,From Kick Off,40257.0,El-Hadji Ousseynou Diouf,12.0,Right Midfield,2,24,Liverpool,"['555b3b19-6f63-47cf-a1e8-b41a5cb5c91f', 'e2cfdb94-3598-4860-8f77-6e1c922c6769']",10,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:10.259,30,Pass,
,,,,,,,,,,,,,,,,,,,,,0.76813,,,,,,,,,,,,,,,,,,,555b3b19-6f63-47cf-a1e8-b41a5cb5c91f,18,,,"[29.4, 3.9]",0,,,,,0.7328151,,37.0,Head,,,"[36.4, 10.2]",,3.0,High Pass,,9.417537,,,,,15515.0,Patrick Vieira,,,,,,66.0,Recovery,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,24,Liverpool,"['afe26d58-0a64-4cc1-9601-9bf2b24a7097', 'c7045b37-7767-4947-b734-aa630d22b357']",11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.830,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afe26d58-0a64-4cc1-9601-9bf2b24a7097,19,,,"[36.4, 10.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,24,Liverpool,['555b3b19-6f63-47cf-a1e8-b41a5cb5c91f'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.598,42,Ball Receipt*,
,,,,,,"[28.1, 13.0]",,,,,,,,,,,,,,,1.774953,,,,,,,,,,,,,,,,,,,e5555573-3e8f-4135-b405-a3b3a6f6540d,20,,,"[36.4, 10.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,24,Liverpool,"['21b30505-e503-406d-84ea-f237ec0ad3ce', '3ee09543-f72f-426a-a648-8cf4f9d17975', 'afe26d58-0a64-4cc1-9601-9bf2b24a7097']",12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.598,43,Carry,True
