bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f50cc223-c604-4e8f-9521-f168abc4330d,11,,,"[41.0, 6.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['75b0b3b4-1976-43d0-83a8-aabeae96aadd'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.855,42,Ball Receipt*,
,,,,,,,"[37.6, 2.9]",,,,,,,,,,,,,,,,3.321296,,,,,,,,,,,,,,,,,,,,2db4c3a8-04e7-41bb-96ef-56dc452d3151,12,,,"[41.0, 6.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['2157e9ad-379a-4d91-8522-484231c8e9d6', 'f50cc223-c604-4e8f-9521-f168abc4330d']",4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.855,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2157e9ad-379a-4d91-8522-484231c8e9d6,13,,,"[37.6, 2.9]",0,,,,,2.1481383,,38.0,Left Foot,,,,"[23.4, 24.7]",,1.0,Ground Pass,,26.016918,,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['2595c190-3170-49f6-b1da-940497dbbd38'],8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.177,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595c190-3170-49f6-b1da-940497dbbd38,14,,,"[23.4, 24.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['2157e9ad-379a-4d91-8522-484231c8e9d6'],10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.177,42,Ball Receipt*,
,,,,,,,"[33.3, 29.2]",,,,,,,,,,,,,,,,1.921246,,,,,,,,,,,,,,,,,,,,05b2dd83-b6e9-4128-89a2-6f9a0e44c9fa,15,,,"[23.4, 24.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['2595c190-3170-49f6-b1da-940497dbbd38', '79e9960a-a541-4967-9376-3709cc8b5090', 'de1eaec6-2d3e-4f37-bdd7-3c63da421a29']",10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.177,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,1.476297,,,,,,,,,,,,,,,,,,,,de1eaec6-2d3e-4f37-bdd7-3c63da421a29,16,,,"[93.3, 56.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,17727.0,Ioan Viorel Ganea,22.0,Right Center Forward,2,1,Arsenal,['05b2dd83-b6e9-4128-89a2-6f9a0e44c9fa'],10,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:10.367,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,4.202805,,,,,,,,,,,,,,,,,,,,79e9960a-a541-4967-9376-3709cc8b5090,17,,,"[33.3, 29.2]",0,,,,,0.5139846,,40.0,Right Foot,,,,"[89.8, 61.1]",,3.0,High Pass,,64.88343,,,9.0,Incomplete,,15042.0,Dennis Bergkamp,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['2634d5bc-1a7f-44cb-ab74-78bbca278480', 'aaa6beff-23ec-40e5-a4df-c9a227900ebc']",12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.098,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa6beff-23ec-40e5-a4df-c9a227900ebc,18,,,"[82.9, 53.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['79e9960a-a541-4967-9376-3709cc8b5090'],16,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.301,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,2.527436,,,,,,,,,,,,,,,,,,,,2634d5bc-1a7f-44cb-ab74-78bbca278480,19,,,"[30.3, 19.0]",0,,,,,2.9607337,,37.0,Head,,,,"[12.8, 22.2]",,3.0,High Pass,,17.790165,,,,,,40319.0,Paul Jones,,,,,,,66.0,Recovery,1,1,Regular Play,40304.0,Lee Naylor,6.0,Left Back,3,46,Wolverhampton Wanderers,"['48fdfb47-4cda-4268-a62d-9caf0006c3d7', '79e9960a-a541-4967-9376-3709cc8b5090']",16,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:16.301,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48fdfb47-4cda-4268-a62d-9caf0006c3d7,20,,,"[12.8, 22.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40319.0,Paul Jones,1.0,Goalkeeper,3,46,Wolverhampton Wanderers,['2634d5bc-1a7f-44cb-ab74-78bbca278480'],18,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:18.828,42,Ball Receipt*,
