50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,1.590082,,,,,,,,,,,,,,,,,,,,,,51e64d15-461a-4c23-9a7f-0a87c3ce66d6,11,,,"[41.3, 37.6]",0,,,,,-1.6506263,,38.0,Left Foot,,,"[39.7, 17.6]",,1.0,Ground Pass,,20.063898,,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,1,Arsenal,"['b1c23d07-b780-4f2d-ac3f-5d4baa9874b6', 'f2605077-7900-4c4c-ba81-434380245ed2']",5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.274,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1c23d07-b780-4f2d-ac3f-5d4baa9874b6,12,,,"[39.7, 17.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['51e64d15-461a-4c23-9a7f-0a87c3ce66d6'],6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.864,42,Ball Receipt*,
,,,,,,,"[39.2, 6.7]",,,,,,,,,,,,,,,,,2.478243,,,,,,,,,,,,,,,,,,,,,,31961f03-15e1-4f7c-9e3a-f7414b218fbd,13,,,"[39.7, 17.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['5400d5e0-65ae-46c9-abf6-dcf895927c41', 'b1c23d07-b780-4f2d-ac3f-5d4baa9874b6']",6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.864,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.362402,,,,,,,,,,,,,,,,,,,,,,5400d5e0-65ae-46c9-abf6-dcf895927c41,14,,,"[39.2, 6.7]",0,,,,,2.177784,,38.0,Left Foot,,,"[29.2, 21.1]",,1.0,Ground Pass,,17.531685,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['5a233f97-5749-4307-8e07-583113a8a212'],9,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.342,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a233f97-5749-4307-8e07-583113a8a212,15,,,"[29.2, 21.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['5400d5e0-65ae-46c9-abf6-dcf895927c41'],10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.705,42,Ball Receipt*,
,,,,,,,"[28.3, 20.1]",,,,,,,,,,,,,,,,,1.192444,,,,,,,,,,,,,,,,,,,,,,3e3a1a6e-5b75-44f6-bcd5-8299bae7bbd5,16,,,"[29.2, 21.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['5a233f97-5749-4307-8e07-583113a8a212', 'dba816f0-a82d-43d8-a06f-d00152dd51af', 'ec1ed2cf-3114-4b10-bd6e-644b0911d9af']",10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.705,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,,1.13193,,,,,,,,,,,,,,,,,,,,,,ec1ed2cf-3114-4b10-bd6e-644b0911d9af,17,,,"[90.7, 59.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40337.0,Yakubu Aiyegbeni,24.0,Left Center Forward,2,1,Arsenal,"['3e3a1a6e-5b75-44f6-bcd5-8299bae7bbd5', 'dba816f0-a82d-43d8-a06f-d00152dd51af']",10,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:10.964,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,2.077332,,,,,,,,,,,,,,,,,,,,,,dba816f0-a82d-43d8-a06f-d00152dd51af,18,,,"[28.3, 20.1]",0,,,,,-0.2748408,,38.0,Left Foot,,,"[62.7, 10.4]",,3.0,High Pass,,35.741432,,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['5c698bcd-17a9-4993-84be-710cc3875867', 'ec1ed2cf-3114-4b10-bd6e-644b0911d9af']",11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.897,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,1.24424,,,,,,,,,,,,,,,,,,,,,,5c698bcd-17a9-4993-84be-710cc3875867,19,,,"[57.4, 69.7]",0,,,,,-0.19395915,,70.0,Other,,,"[63.0, 68.6]",,2.0,Low Pass,,5.707013,,,,,40343.0,Amdy Moustapha Faye,,,,,,66.0,Recovery,1,1,Regular Play,40336.0,Sébastien Schemmel,2.0,Right Back,3,105,Portsmouth,"['70b96dba-9271-4460-a519-28c2f10169a4', 'dba816f0-a82d-43d8-a06f-d00152dd51af']",13,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:13.974,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70b96dba-9271-4460-a519-28c2f10169a4,20,,,"[63.0, 68.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40343.0,Amdy Moustapha Faye,9.0,Right Defensive Midfield,3,105,Portsmouth,['5c698bcd-17a9-4993-84be-710cc3875867'],15,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:15.219,42,Ball Receipt*,
